celebrity_name,season,week,weekly_avg_score,weekly_total_score,num_judges,was_eliminated,weekly_rank_by_avg,weekly_rank_by_total,weekly_score_percentage,results,placement
Alexis Ren,27,7.0,9.166666666666666,27.5,3,False,4.0,4.0,12.643678160919542,4th Place,4
Alexis Ren,27,8.0,9.666666666666666,29.0,3,False,2.0,2.0,18.012422360248447,4th Place,4
Alexis Ren,27,9.0,9.5,28.5,3,False,3.0,3.0,24.675324675324674,4th Place,4
Alexis Ren,27,10.0,,0.0,0,True,,1.0,,4th Place,4
Alexis Ren,27,11.0,,0.0,0,True,,1.0,,4th Place,4
Alfonso Ribeiro,19,1.0,9.0,36.0,4,False,1.0,1.0,9.67741935483871,1st Place,1
Alfonso Ribeiro,19,2.0,8.0,32.0,4,False,4.0,4.0,8.83977900552486,1st Place,1
Alfonso Ribeiro,19,3.0,8.0,32.0,4,False,4.0,4.0,9.06515580736544,1st Place,1
Alfonso Ribeiro,19,4.0,10.0,40.0,4,False,1.0,1.0,12.5,1st Place,1
Alfonso Ribeiro,19,5.0,8.5,34.0,4,False,2.0,2.0,12.878787878787879,1st Place,1
Alfonso Ribeiro,19,6.0,9.75,39.0,4,False,1.0,1.0,13.310580204778159,1st Place,1
Alfonso Ribeiro,19,7.0,8.5,34.0,4,False,3.0,3.0,13.152804642166343,1st Place,1
Alfonso Ribeiro,19,8.0,10.25,41.0,4,False,2.0,2.0,16.532258064516128,1st Place,1
Alfonso Ribeiro,19,9.0,9.625,38.5,4,False,1.0,1.0,17.990654205607477,1st Place,1
Alfonso Ribeiro,19,10.0,9.375,37.5,4,False,3.0,3.0,20.54794520547945,1st Place,1
Alfonso Ribeiro,19,11.0,10.0,40.0,4,False,1.0,1.0,25.586408499804904,1st Place,1
Alix Earle,34,1.0,6.5,13.0,2,False,4.0,4.0,7.926829268292683,2nd Place,2
Alix Earle,34,2.0,7.0,21.0,3,False,5.0,5.0,7.553956834532374,2nd Place,2
Alix Earle,34,3.0,7.666666666666667,23.0,3,False,3.0,3.0,8.949416342412452,2nd Place,2
Alix Earle,34,4.0,8.0,24.0,3,False,2.0,2.0,9.67741935483871,2nd Place,2
Alix Earle,34,5.0,8.75,35.0,4,False,2.0,2.0,11.182108626198083,2nd Place,2
Alix Earle,34,6.0,8.75,35.0,4,False,6.0,6.0,10.294117647058822,2nd Place,2
Alix Earle,34,7.0,10.75,43.0,4,False,1.0,1.0,12.951807228915662,2nd Place,2
Alix Earle,34,8.0,9.625,38.5,4,False,3.0,3.0,12.769485903814262,2nd Place,2
Alix Earle,34,9.0,10.0,40.0,4,False,4.0,4.0,14.814814814814813,2nd Place,2
Alix Earle,34,10.0,9.666666666666666,29.0,3,False,2.0,2.0,16.86046511627907,2nd Place,2
Alix Earle,34,11.0,10.0,30.0,3,False,1.0,1.0,20.31609129238783,2nd Place,2
Ally Brooke,28,1.0,5.333333333333333,16.0,3,False,7.0,7.0,8.121827411167512,3rd Place,3
Ally Brooke,28,2.0,6.666666666666667,20.0,3,False,3.0,3.0,9.1324200913242,3rd Place,3
Ally Brooke,28,3.0,8.0,24.0,3,False,1.0,1.0,12.121212121212121,3rd Place,3
Ally Brooke,28,4.0,8.0,32.0,4,False,1.0,1.0,11.347517730496454,3rd Place,3
Ally Brooke,28,5.0,9.0,27.0,3,False,1.0,1.0,12.558139534883722,3rd Place,3
Ally Brooke,28,6.0,8.333333333333334,25.0,3,False,6.0,6.0,10.964912280701753,3rd Place,3
Ally Brooke,28,7.0,9.0,27.0,3,False,1.0,1.0,13.366336633663368,3rd Place,3
Ally Brooke,28,8.0,10.0,30.0,3,False,3.0,3.0,15.544105882304175,3rd Place,3
Ally Brooke,28,9.0,10.0,40.0,4,False,1.0,1.0,19.18465227817746,3rd Place,3
Ally Brooke,28,10.0,9.833333333333334,29.5,3,False,1.0,1.0,21.454545454545453,3rd Place,3
Ally Brooke,28,11.0,10.0,30.0,3,False,1.0,1.0,25.64102564102564,3rd Place,3
Alyson Hannigan,32,1.0,4.333333333333333,13.0,3,False,11.0,11.0,5.627705627705628,5th Place,5
Alyson Hannigan,32,2.0,6.333333333333333,19.0,3,False,6.0,6.0,7.9831932773109235,5th Place,5
Alyson Hannigan,32,3.0,6.0,24.0,4,False,8.0,8.0,7.430340557275541,5th Place,5
Alyson Hannigan,32,4.0,6.0,18.0,3,False,10.0,10.0,7.5,5th Place,5
Alyson Hannigan,32,5.0,7.0,21.0,3,False,9.0,9.0,8.75,5th Place,5
Alyson Hannigan,32,6.0,7.75,31.0,4,False,8.0,8.0,9.627329192546584,5th Place,5
Alyson Hannigan,32,7.0,8.75,35.0,4,False,6.0,6.0,12.411347517730496,5th Place,5
Alyson Hannigan,32,8.0,9.0,36.0,4,False,4.0,4.0,14.229249011857709,5th Place,5
Alyson Hannigan,32,9.0,8.0,32.0,4,False,5.0,5.0,14.479638009049776,5th Place,5
Alyson Hannigan,32,10.0,8.5,25.5,3,False,5.0,5.0,17.894736842105264,5th Place,5
Alyson Hannigan,32,11.0,8.833333333333334,26.5,3,False,5.0,5.0,18.213058419243985,5th Place,5
Amanda Kloots,30,1.0,7.0,28.0,4,False,2.0,2.0,7.650273224043716,4th Place,4
Amanda Kloots,30,2.0,8.0,32.0,4,False,1.0,1.0,8.311688311688311,4th Place,4
Amanda Kloots,30,3.0,8.0,24.0,3,False,1.0,1.0,8.053691275167784,4th Place,4
Amanda Kloots,30,4.0,8.5,34.0,4,False,4.0,4.0,8.15347721822542,4th Place,4
Amanda Kloots,30,5.0,9.75,39.0,4,False,2.0,2.0,10.129870129870131,4th Place,4
Amanda Kloots,30,6.0,9.5,38.0,4,False,3.0,3.0,10.43956043956044,4th Place,4
Amanda Kloots,30,7.0,8.5,34.0,4,False,6.0,6.0,10.397553516819572,4th Place,4
Amanda Kloots,30,8.0,10.5,42.0,4,False,1.0,1.0,13.636363636363635,4th Place,4
Amanda Kloots,30,9.0,9.875,39.5,4,False,2.0,2.0,17.47787610619469,4th Place,4
Amanda Kloots,30,10.0,9.75,39.0,4,False,3.0,3.0,24.840764331210192,4th Place,4
Amanda Kloots,30,11.0,,0.0,0,True,,1.0,,4th Place,4
Amber Riley,17,1.0,9.0,27.0,3,False,1.0,1.0,10.546875,1st Place,1
Amber Riley,17,2.0,8.0,24.0,3,False,4.0,4.0,9.022556390977442,1st Place,1
Amber Riley,17,3.0,8.0,24.0,3,False,6.0,6.0,9.411764705882353,1st Place,1
Amber Riley,17,4.0,9.0,27.0,3,False,1.0,1.0,11.39240506329114,1st Place,1
Amber Riley,17,5.0,8.666666666666666,26.0,3,False,6.0,6.0,11.063829787234042,1st Place,1
Amber Riley,17,6.0,10.666633333333332,31.999899999999997,3,False,1.0,1.0,13.852818537899697,1st Place,1
Amber Riley,17,7.0,9.833333333333334,29.5,3,False,1.0,1.0,13.31828442437923,1st Place,1
Amber Riley,17,8.0,9.333333333333334,28.0,3,False,3.0,3.0,14.583333333333334,1st Place,1
Amber Riley,17,9.0,8.5,25.5,3,False,5.0,5.0,16.19047619047619,1st Place,1
Amber Riley,17,10.0,9.875,39.5,4,False,1.0,1.0,22.57142857142857,1st Place,1
Amber Riley,17,11.0,10.4444,31.333199999999998,3,False,1.0,1.0,27.365383574062395,1st Place,1
Amber Rose,23,1.0,6.0,24.0,4,False,9.0,9.0,7.2727272727272725,Eliminated Week 6,9
Amber Rose,23,2.0,6.0,24.0,4,False,10.0,10.0,6.8181818181818175,Eliminated Week 6,9
Amber Rose,23,3.0,6.25,25.0,4,False,8.0,8.0,7.6923076923076925,Eliminated Week 6,9
Amber Rose,23,4.0,8.0,24.0,3,False,4.0,4.0,9.195402298850574,Eliminated Week 6,9
Amber Rose,23,5.0,8.0,24.0,3,False,6.0,6.0,10.434782608695652,Eliminated Week 6,9
Amber Rose,23,6.0,7.0,28.0,4,False,9.0,9.0,9.180327868852459,Eliminated Week 6,9
Amber Rose,23,7.0,0.0,0.0,4,True,9.0,9.0,0.0,Eliminated Week 6,9
Amber Rose,23,8.0,0.0,0.0,3,True,8.0,8.0,0.0,Eliminated Week 6,9
Amber Rose,23,9.0,0.0,0.0,4,True,7.0,7.0,0.0,Eliminated Week 6,9
Amber Rose,23,10.0,0.0,0.0,3,True,6.0,6.0,0.0,Eliminated Week 6,9
Amber Rose,23,11.0,0.0,0.0,4,True,5.0,5.0,0.0,Eliminated Week 6,9
Amy Purdy,18,1.0,8.0,24.0,3,False,3.0,3.0,9.16030534351145,2nd Place,2
Amy Purdy,18,2.0,8.0,24.0,3,False,4.0,4.0,9.836065573770492,2nd Place,2
Amy Purdy,18,3.0,9.0,36.0,4,False,2.0,2.0,11.57556270096463,2nd Place,2
Amy Purdy,18,4.0,8.5,34.0,4,False,3.0,3.0,11.447811447811448,2nd Place,2
Amy Purdy,18,5.0,9.25,37.0,4,False,3.0,3.0,11.490683229813664,2nd Place,2
Amy Purdy,18,6.0,9.5,38.0,4,False,2.0,2.0,13.47517730496454,2nd Place,2
Amy Purdy,18,7.0,9.375,37.5,4,False,2.0,2.0,14.82213438735178,2nd Place,2
Amy Purdy,18,8.0,10.0,40.0,4,False,1.0,1.0,17.699115044247787,2nd Place,2
Amy Purdy,18,9.0,9.75,39.0,4,False,2.0,2.0,20.418848167539267,2nd Place,2
Amy Purdy,18,10.0,9.888866666666667,29.666600000000003,3,False,2.0,2.0,25.87209505138384,2nd Place,2
Amy Purdy,18,11.0,,0.0,0,True,,1.0,,2nd Place,2
Andy Dick,16,1.0,5.666666666666667,17.0,3,False,11.0,11.0,7.423580786026202,Eliminated Week 7,7
Andy Dick,16,2.0,6.666666666666667,20.0,3,False,5.0,5.0,8.19672131147541,Eliminated Week 7,7
Andy Dick,16,3.0,6.0,18.0,3,False,9.0,9.0,7.659587505680861,Eliminated Week 7,7
Andy Dick,16,4.0,7.0,21.0,3,False,6.0,6.0,9.375,Eliminated Week 7,7
Andy Dick,16,5.0,6.0,18.0,3,False,8.0,8.0,8.61244019138756,Eliminated Week 7,7
Andy Dick,16,6.0,7.166666666666667,21.5,3,False,7.0,7.0,11.405835543766578,Eliminated Week 7,7
Andy Dick,16,7.0,5.666666666666667,17.0,3,False,7.0,7.0,9.239130434782608,Eliminated Week 7,7
Andy Dick,16,8.0,0.0,0.0,3,True,7.0,7.0,0.0,Eliminated Week 7,7
Andy Dick,16,9.0,0.0,0.0,3,True,6.0,6.0,0.0,Eliminated Week 7,7
Andy Dick,16,10.0,0.0,0.0,3,True,5.0,5.0,0.0,Eliminated Week 7,7
Andy Dick,16,11.0,,0.0,0,True,,1.0,,Eliminated Week 7,7
Andy Grammer,21,1.0,7.0,21.0,3,False,7.0,7.0,8.4,Eliminated Week 8,7
Andy Grammer,21,2.0,7.333333333333333,22.0,3,False,8.0,8.0,8.133086876155268,Eliminated Week 8,7
Andy Grammer,21,3.0,7.25,29.0,4,False,8.0,8.0,9.508196721311474,Eliminated Week 8,7
Andy Grammer,21,4.0,7.666666666666667,23.0,3,False,7.0,7.0,9.745762711864407,Eliminated Week 8,7
Andy Grammer,21,5.0,9.0,36.0,4,False,4.0,4.0,11.960132890365449,Eliminated Week 8,7
Andy Grammer,21,6.0,10.0,40.0,4,False,1.0,1.0,12.779552715654951,Eliminated Week 8,7
Andy Grammer,21,7.0,9.333333333333334,28.0,3,False,2.0,2.0,12.669683257918551,Eliminated Week 8,7
Andy Grammer,21,8.0,7.999933333333334,23.9998,3,False,7.0,7.0,12.371069188873781,Eliminated Week 8,7
Andy Grammer,21,9.0,0.0,0.0,3,True,7.0,7.0,0.0,Eliminated Week 8,7
Andy Grammer,21,10.0,0.0,0.0,3,True,5.0,5.0,0.0,Eliminated Week 8,7
Andy Grammer,21,11.0,0.0,0.0,3,True,5.0,5.0,0.0,Eliminated Week 8,7
Andy Richter,34,1.0,4.5,9.0,2,False,13.0,13.0,5.487804878048781,Eliminated Week 9,7
Andy Richter,34,2.0,5.333333333333333,16.0,3,False,13.0,13.0,5.755395683453238,Eliminated Week 9,7
Andy Richter,34,3.0,6.0,18.0,3,False,11.0,11.0,7.003891050583658,Eliminated Week 9,7
Andy Richter,34,4.0,6.0,18.0,3,False,11.0,11.0,7.258064516129033,Eliminated Week 9,7
Andy Richter,34,5.0,6.0,24.0,4,False,10.0,10.0,7.667731629392971,Eliminated Week 9,7
Andy Richter,34,6.0,6.75,27.0,4,False,10.0,10.0,7.941176470588235,Eliminated Week 9,7
Andy Richter,34,7.0,7.25,29.0,4,False,9.0,9.0,8.734939759036145,Eliminated Week 9,7
Andy Richter,34,8.0,8.5,34.0,4,False,8.0,8.0,11.276948590381426,Eliminated Week 9,7
Andy Richter,34,9.0,7.25,29.0,4,False,7.0,7.0,10.74074074074074,Eliminated Week 9,7
Andy Richter,34,10.0,0.0,0.0,3,True,7.0,7.0,0.0,Eliminated Week 9,7
Andy Richter,34,11.0,0.0,0.0,3,True,6.0,6.0,0.0,Eliminated Week 9,7
Anna Delvey,33,1.0,6.0,18.0,3,False,8.0,8.0,7.28744939271255,Eliminated Week 2,12
Anna Delvey,33,2.0,5.666666666666667,17.0,3,False,11.0,11.0,6.5891472868217065,Eliminated Week 2,12
Anna Delvey,33,3.0,0.0,0.0,4,True,12.0,12.0,0.0,Eliminated Week 2,12
Anna Delvey,33,4.0,0.0,0.0,4,True,10.0,10.0,0.0,Eliminated Week 2,12
Anna Delvey,33,5.0,0.0,0.0,3,True,9.0,9.0,0.0,Eliminated Week 2,12
Anna Delvey,33,6.0,0.0,0.0,3,True,8.0,8.0,0.0,Eliminated Week 2,12
Anna Delvey,33,7.0,0.0,0.0,3,True,7.0,7.0,0.0,Eliminated Week 2,12
Anna Delvey,33,8.0,0.0,0.0,3,True,6.0,6.0,0.0,Eliminated Week 2,12
Anna Delvey,33,9.0,0.0,0.0,3,True,6.0,6.0,0.0,Eliminated Week 2,12
Anna Delvey,33,10.0,,0.0,0,True,,1.0,,Eliminated Week 2,12
Anna Delvey,33,11.0,,0.0,0,True,,1.0,,Eliminated Week 2,12
Anne Heche,29,1.0,6.0,18.0,3,False,6.0,6.0,6.923076923076923,Eliminated Week 4,13
Anne Heche,29,2.0,6.0,18.0,3,False,6.0,6.0,6.593406593406594,Eliminated Week 4,13
Anne Heche,29,3.0,5.0,15.0,3,False,13.0,13.0,5.338078291814947,Eliminated Week 4,13
Anne Heche,29,4.0,7.0,21.0,3,False,10.0,10.0,6.976744186046512,Eliminated Week 4,13
Anne Heche,29,5.0,0.0,0.0,3,True,13.0,13.0,0.0,Eliminated Week 4,13
Anne Heche,29,6.0,0.0,0.0,3,True,12.0,12.0,0.0,Eliminated Week 4,13
Anne Heche,29,7.0,0.0,0.0,3,True,11.0,11.0,0.0,Eliminated Week 4,13
Anne Heche,29,8.0,0.0,0.0,3,True,9.0,9.0,0.0,Eliminated Week 4,13
Anne Heche,29,9.0,0.0,0.0,3,True,8.0,8.0,0.0,Eliminated Week 4,13
Anne Heche,29,10.0,0.0,0.0,3,True,7.0,7.0,0.0,Eliminated Week 4,13
Anne Heche,29,11.0,0.0,0.0,3,True,5.0,5.0,0.0,Eliminated Week 4,13
Antonio Brown,22,1.0,7.0,21.0,3,False,4.0,4.0,8.860759493670885,Eliminated Week 9,5
Antonio Brown,22,2.0,6.333333333333333,19.0,3,False,9.0,9.0,8.050847457627118,Eliminated Week 9,5
Antonio Brown,22,3.0,6.666666666666667,20.0,3,False,8.0,8.0,8.438818565400844,Eliminated Week 9,5
Antonio Brown,22,4.0,8.75,35.0,4,False,3.0,3.0,10.9717868338558,Eliminated Week 9,5
Antonio Brown,22,5.0,6.5,26.0,4,False,9.0,9.0,9.420289855072465,Eliminated Week 9,5
