celebrity_name,season,week,weekly_avg_score,weekly_total_score,num_judges,was_eliminated,weekly_rank_by_avg,weekly_rank_by_total,weekly_score_percentage,results,placement,has_tie,predicted_fan_votes
Tia Carrere,2,2.0,7.333333333333333,22.0,3,False,5.0,5.0,11.0,Eliminated Week 5,6,True,103056.40850640809
Drew Lachey,2,3.0,9.0,27.0,3,False,1.0,1.0,14.835164835164836,1st Place,1,True,196377.17135081135
George Hamilton,2,3.0,7.333333333333333,22.0,3,False,5.0,5.0,12.087912087912088,Eliminated Week 6,5,True,102598.0967272145
Giselle Fernandez,2,3.0,7.333333333333333,22.0,3,False,5.0,5.0,12.087912087912088,Eliminated Week 3,8,True,102598.34620916552
Jerry Rice,2,3.0,6.333333333333333,19.0,3,False,7.0,7.0,10.43956043956044,2nd Place,2,True,64573.4467792711
Lisa Rinna,2,3.0,8.333333333333334,25.0,3,False,4.0,4.0,13.736263736263735,Eliminated Week 7,4,True,138621.085513928
Master P,2,3.0,4.666666666666667,14.0,3,False,8.0,8.0,7.6923076923076925,Eliminated Week 4,7,True,36868.34159797936
Stacy Keibler,2,3.0,9.0,27.0,3,False,1.0,1.0,14.835164835164836,3rd Place,3,True,196377.3365281482
Tia Carrere,2,3.0,8.666666666666666,26.0,3,False,3.0,3.0,14.285714285714285,Eliminated Week 5,6,True,161986.17529348182
Drew Lachey,2,4.0,9.333333333333334,28.0,3,False,1.0,1.0,17.72151898734177,1st Place,1,True,233532.62104099887
George Hamilton,2,4.0,7.0,21.0,3,False,6.0,6.0,13.291139240506327,Eliminated Week 6,5,True,81519.3138096013
Jerry Rice,2,4.0,8.0,24.0,3,False,5.0,5.0,15.18987341772152,2nd Place,2,True,113893.77554149037
Lisa Rinna,2,4.0,8.666666666666666,26.0,3,False,2.0,2.0,16.455696202531644,Eliminated Week 7,4,True,189812.61026839048
Master P,2,4.0,2.6666666666666665,8.0,3,False,7.0,7.0,5.063291139240507,Eliminated Week 4,7,True,46543.22122521908
Stacy Keibler,2,4.0,8.666666666666666,26.0,3,False,2.0,2.0,16.455696202531644,3rd Place,3,True,189812.9152618523
Tia Carrere,2,4.0,8.333333333333334,25.0,3,False,4.0,4.0,15.822784810126585,Eliminated Week 5,6,True,144885.54285244748
Drew Lachey,2,5.0,9.0,27.0,3,False,2.0,2.0,17.880794701986755,1st Place,1,False,228357.30204733845
George Hamilton,2,5.0,8.0,24.0,3,False,4.0,4.0,15.89403973509934,Eliminated Week 6,5,False,148621.26892039517
Jerry Rice,2,5.0,7.666666666666667,23.0,3,False,5.0,5.0,15.2317880794702,2nd Place,2,False,106375.66630166388
Lisa Rinna,2,5.0,8.333333333333334,25.0,3,False,3.0,3.0,16.55629139072848,Eliminated Week 7,4,False,189062.83002433524
Stacy Keibler,2,5.0,10.0,30.0,3,False,1.0,1.0,19.86754966887417,3rd Place,3,False,266848.232661283
Tia Carrere,2,5.0,7.333333333333333,22.0,3,False,6.0,6.0,14.56953642384106,Eliminated Week 5,6,False,60734.70004498414
Drew Lachey,2,6.0,10.0,30.0,3,False,1.0,1.0,22.55639097744361,1st Place,1,True,284274.40007772617
George Hamilton,2,6.0,7.666666666666667,23.0,3,False,4.0,4.0,17.293233082706767,Eliminated Week 6,5,True,114568.00033603556
Jerry Rice,2,6.0,7.666666666666667,23.0,3,False,4.0,4.0,17.293233082706767,2nd Place,2,True,114567.29028063128
Lisa Rinna,2,6.0,9.0,27.0,3,False,3.0,3.0,20.30075187969925,Eliminated Week 7,4,True,202315.6690708332
Stacy Keibler,2,6.0,10.0,30.0,3,False,1.0,1.0,22.55639097744361,3rd Place,3,True,284274.6402347738
Drew Lachey,2,7.0,9.166666666666666,27.5,3,False,1.0,1.0,26.96078431372549,1st Place,1,True,334590.74833677104
Jerry Rice,2,7.0,6.833333333333333,20.5,3,False,4.0,4.0,20.09803921568628,2nd Place,2,True,120233.182514158
Lisa Rinna,2,7.0,8.833333333333334,26.5,3,False,3.0,3.0,25.98039215686275,Eliminated Week 7,4,True,210584.7575995007
Stacy Keibler,2,7.0,9.166666666666666,27.5,3,False,1.0,1.0,26.96078431372549,3rd Place,3,True,334591.3115495702
Drew Lachey,2,8.0,9.6666,28.9998,3,False,1.0,1.0,34.38729131809769,1st Place,1,False,470720.78568949766
Jerry Rice,2,8.0,8.888866666666667,26.666600000000003,3,False,3.0,3.0,31.620636785880723,2nd Place,2,False,192362.4733500633
Stacy Keibler,2,8.0,9.5555,28.6665,3,False,2.0,2.0,33.9920718960216,3rd Place,3,False,336916.7409604392
Ally Brooke,28,1.0,5.333333333333333,16.0,3,False,7.0,7.0,8.121827411167512,3rd Place,3,True,73198.94528928184
Hannah Brown,28,1.0,6.666666666666667,20.0,3,False,2.0,2.0,10.152284263959393,1st Place,1,True,133703.02466769313
James Van Der Beek,28,1.0,7.0,21.0,3,False,1.0,1.0,10.65989847715736,Eliminated Week 10,5,True,144416.412958172
Karamo Brown,28,1.0,5.666666666666667,17.0,3,False,5.0,5.0,8.629441624365482,Eliminated Week 7,8,True,95604.23117139844
Kate Flannery,28,1.0,5.0,15.0,3,False,9.0,9.0,7.614213197969544,Eliminated Week 8,7,True,49948.79366106044
Kel Mitchell,28,1.0,5.333333333333333,16.0,3,False,7.0,7.0,8.121827411167512,2nd Place,2,True,73199.00342990633
Lamar Odom,28,1.0,3.6666666666666665,11.0,3,False,12.0,12.0,5.583756345177665,Eliminated Week 4,10,True,17948.8269502026
Lauren Alaina,28,1.0,6.333333333333333,19.0,3,False,3.0,3.0,9.64467005076142,4th Place,4,True,122923.65138510786
Mary Wilson,28,1.0,5.666666666666667,17.0,3,False,5.0,5.0,8.629441624365482,Eliminated Week 2,12,True,95604.24888542722
Ray Lewis,28,1.0,5.0,15.0,3,False,9.0,9.0,7.614213197969544,Withdrew,11,True,49948.87604627193
Sailor Brinkley-Cook,28,1.0,6.0,18.0,3,False,4.0,4.0,9.137055837563452,Eliminated Week 6,9,True,112067.0578947042
Sean Spicer,28,1.0,4.0,12.0,3,False,11.0,11.0,6.091370558375635,Eliminated Week 9,6,True,31436.92766077404
Ally Brooke,28,2.0,6.666666666666667,20.0,3,False,3.0,3.0,9.1324200913242,3rd Place,3,True,112053.84293162936
Hannah Brown,28,2.0,8.0,24.0,3,False,1.0,1.0,10.95890410958904,1st Place,1,True,144399.49591999088
James Van Der Beek,28,2.0,6.666666666666667,20.0,3,False,3.0,3.0,9.1324200913242,Eliminated Week 10,5,True,112053.86155563648
Karamo Brown,28,2.0,6.333333333333333,19.0,3,False,6.0,6.0,8.67579908675799,Eliminated Week 7,8,True,84469.72108660516
Kate Flannery,28,2.0,7.0,21.0,3,False,2.0,2.0,9.58904109589041,Eliminated Week 8,7,True,133687.3362555291
Kel Mitchell,28,2.0,6.666666666666667,20.0,3,False,3.0,3.0,9.1324200913242,2nd Place,2,True,112053.88080406182
Lamar Odom,28,2.0,4.0,12.0,3,False,12.0,12.0,5.47945205479452,Eliminated Week 4,10,True,17946.72441223892
Lauren Alaina,28,2.0,6.333333333333333,19.0,3,False,6.0,6.0,8.67579908675799,4th Place,4,True,84469.47264516322
Mary Wilson,28,2.0,5.0,15.0,3,False,10.0,10.0,6.849315068493151,Eliminated Week 2,12,True,37760.2137669404
Ray Lewis,28,2.0,5.0,15.0,3,False,10.0,10.0,6.849315068493151,Withdrew,11,True,37760.235826164455
Sailor Brinkley-Cook,28,2.0,6.0,18.0,3,False,8.0,8.0,8.21917808219178,Eliminated Week 6,9,True,67478.31048774428
Sean Spicer,28,2.0,5.333333333333333,16.0,3,False,9.0,9.0,7.30593607305936,Eliminated Week 9,6,True,55866.904308295896
Ally Brooke,28,3.0,8.0,24.0,3,False,1.0,1.0,12.12121212121212,3rd Place,3,True,162791.42617377217
Hannah Brown,28,3.0,7.0,21.0,3,False,5.0,5.0,10.606060606060606,1st Place,1,True,109253.61051625627
James Van Der Beek,28,3.0,7.666666666666667,23.0,3,False,3.0,3.0,11.616161616161616,Eliminated Week 10,5,True,132449.20949554964
Karamo Brown,28,3.0,5.333333333333333,16.0,3,False,8.0,8.0,8.080808080808081,Eliminated Week 7,8,True,60848.70140081125
Kate Flannery,28,3.0,8.0,24.0,3,False,1.0,1.0,12.12121212121212,Eliminated Week 8,7,True,162791.452754693
Kel Mitchell,28,3.0,6.666666666666667,20.0,3,False,6.0,6.0,10.1010101010101,2nd Place,2,True,85498.82823214718
Lamar Odom,28,3.0,4.0,12.0,3,False,10.0,10.0,6.0606060606060606,Eliminated Week 4,10,True,24866.348610932902
Lauren Alaina,28,3.0,6.666666666666667,20.0,3,False,6.0,6.0,10.1010101010101,4th Place,4,True,85498.83302722378
Sailor Brinkley-Cook,28,3.0,7.666666666666667,23.0,3,False,3.0,3.0,11.616161616161616,Eliminated Week 6,9,True,132449.09727817046
Sean Spicer,28,3.0,5.0,15.0,3,False,9.0,9.0,7.575757575757576,Eliminated Week 9,6,True,43552.49251044339
Ally Brooke,28,4.0,8.0,32.0,4,False,1.0,1.0,11.347517730496454,3rd Place,3,True,147648.93064214985
Hannah Brown,28,4.0,8.0,32.0,4,False,1.0,1.0,11.347517730496454,1st Place,1,True,147648.9291223695
James Van Der Beek,28,4.0,7.0,28.0,4,False,6.0,6.0,9.929078014184398,Eliminated Week 10,5,True,85474.88827461617
Karamo Brown,28,4.0,7.0,28.0,4,False,6.0,6.0,9.929078014184398,Eliminated Week 7,8,True,85474.86947655698
Kate Flannery,28,4.0,6.5,26.0,4,False,8.0,8.0,9.219858156028367,Eliminated Week 8,7,True,60831.75913916771
Kel Mitchell,28,4.0,8.0,32.0,4,False,1.0,1.0,11.347517730496454,2nd Place,2,True,147648.9906406105
Lamar Odom,28,4.0,5.0,20.0,4,False,10.0,10.0,7.092198581560284,Eliminated Week 4,10,True,24859.24302683123
Lauren Alaina,28,4.0,8.0,32.0,4,False,1.0,1.0,11.347517730496454,4th Place,4,True,147648.96832853986
Sailor Brinkley-Cook,28,4.0,7.75,31.0,4,False,5.0,5.0,10.99290780141844,Eliminated Week 6,9,True,109223.16189518204
Sean Spicer,28,4.0,5.25,21.0,4,False,9.0,9.0,7.446808510638298,Eliminated Week 9,6,True,43540.25945397613
Ally Brooke,28,5.0,9.0,27.0,3,False,1.0,1.0,12.558139534883722,3rd Place,3,True,187129.78206422727
Hannah Brown,28,5.0,8.333333333333334,25.0,3,False,4.0,4.0,11.627906976744184,1st Place,1,True,131682.78932451893
James Van Der Beek,28,5.0,8.666666666666666,26.0,3,False,2.0,2.0,12.093023255813954,Eliminated Week 10,5,True,159640.09626018236
Karamo Brown,28,5.0,7.0,21.0,3,False,8.0,8.0,9.767441860465116,Eliminated Week 7,8,True,52493.51911706003
Kate Flannery,28,5.0,8.0,24.0,3,False,5.0,5.0,11.16279069767442,Eliminated Week 8,7,True,103051.11533480683
Kel Mitchell,28,5.0,8.666666666666666,26.0,3,False,2.0,2.0,12.093023255813954,2nd Place,2,True,159640.07254018227
Lauren Alaina,28,5.0,7.666666666666667,23.0,3,False,7.0,7.0,10.69767441860465,4th Place,4,True,73340.55828924701
Sailor Brinkley-Cook,28,5.0,8.0,24.0,3,False,5.0,5.0,11.16279069767442,Eliminated Week 6,9,True,103051.07074863404
Sean Spicer,28,5.0,6.333333333333333,19.0,3,False,9.0,9.0,8.837209302325581,Eliminated Week 9,6,True,29970.996321141265
Ally Brooke,28,6.0,8.333333333333334,25.0,3,False,6.0,6.0,10.964912280701752,3rd Place,3,True,83381.94675671562
Hannah Brown,28,6.0,8.0,24.0,3,False,8.0,8.0,10.526315789473683,1st Place,1,True,52478.975594283744
James Van Der Beek,28,6.0,9.0,27.0,3,False,1.0,1.0,11.842105263157894,Eliminated Week 10,5,True,168801.77164875445
Karamo Brown,28,6.0,8.333333333333334,25.0,3,False,6.0,6.0,10.964912280701752,Eliminated Week 7,8,True,83381.96678236857
Kate Flannery,28,6.0,9.0,27.0,3,False,1.0,1.0,11.842105263157894,Eliminated Week 8,7,True,168801.697171819
Kel Mitchell,28,6.0,8.666666666666666,26.0,3,False,4.0,4.0,11.403508771929824,2nd Place,2,True,122194.36743686936
Lauren Alaina,28,6.0,8.666666666666666,26.0,3,False,4.0,4.0,11.403508771929824,4th Place,4,True,122194.48723083475
Sailor Brinkley-Cook,28,6.0,9.0,27.0,3,False,1.0,1.0,11.842105263157894,Eliminated Week 6,9,True,168801.8749212282
Sean Spicer,28,6.0,7.0,21.0,3,False,9.0,9.0,9.210526315789473,Eliminated Week 9,6,True,29962.912457126364
Ally Brooke,28,7.0,9.0,27.0,3,False,1.0,1.0,13.366336633663368,3rd Place,3,True,184985.38772397395
Hannah Brown,28,7.0,8.666666666666666,26.0,3,False,4.0,4.0,12.871287128712872,1st Place,1,True,138619.4830378624
James Van Der Beek,28,7.0,9.0,27.0,3,False,1.0,1.0,13.366336633663368,Eliminated Week 10,5,True,184985.43401109017
Karamo Brown,28,7.0,8.166666666666666,24.5,3,False,6.0,6.0,12.128712871287128,Eliminated Week 7,8,True,90217.18541394392
Kate Flannery,28,7.0,8.0,24.0,3,False,7.0,7.0,11.88118811881188,Eliminated Week 8,7,True,64573.05354627238
Kel Mitchell,28,7.0,8.5,25.5,3,False,5.0,5.0,12.623762376237623,2nd Place,2,True,114766.47659836095
Lauren Alaina,28,7.0,9.0,27.0,3,False,1.0,1.0,13.366336633663368,4th Place,4,True,184985.2319350487
Sean Spicer,28,7.0,7.0,21.0,3,False,8.0,8.0,10.396039603960396,Eliminated Week 9,6,True,36867.74773344758
Ally Brooke,28,8.0,10.0,30.0,3,False,3.0,3.0,15.544105882304176,3rd Place,3,False,175022.08841074037
Hannah Brown,28,8.0,10.333266666666669,30.9998,3,False,2.0,2.0,16.062139117675102,1st Place,1,False,204522.07588731023
James Van Der Beek,28,8.0,10.6666,31.9998,3,False,1.0,1.0,16.58027598041857,Eliminated Week 10,5,False,233563.45728027596
Kate Flannery,28,8.0,8.6666,25.9998,3,False,5.0,5.0,13.471454803957736,Eliminated Week 8,7,False,113908.28076323168
Kel Mitchell,28,8.0,9.999933333333331,29.9998,3,False,4.0,4.0,15.544002254931629,2nd Place,2,False,144905.133186027
Lauren Alaina,28,8.0,8.0,24.0,3,False,6.0,6.0,12.43528470584334,4th Place,4,False,81529.59756228016
Sean Spicer,28,8.0,6.666666666666667,20.0,3,False,7.0,7.0,10.362737254869453,Eliminated Week 9,6,False,46549.366910134646
Ally Brooke,28,9.0,10.0,40.0,4,False,1.0,1.0,19.18465227817746,3rd Place,3,False,266848.6693215838
Hannah Brown,28,9.0,8.875,35.5,4,False,4.0,4.0,17.026378896882495,1st Place,1,False,148621.51639673032
James Van Der Beek,28,9.0,9.0,36.0,4,False,3.0,3.0,17.26618705035971,Eliminated Week 10,5,False,189062.4666673625
Kel Mitchell,28,9.0,9.25,37.0,4,False,2.0,2.0,17.74580335731415,2nd Place,2,False,228358.185458836
Lauren Alaina,28,9.0,8.75,35.0,4,False,5.0,5.0,16.786570743405278,4th Place,4,False,106374.37608733888
Sean Spicer,28,9.0,6.25,25.0,4,False,6.0,6.0,11.990407673860911,Eliminated Week 9,6,False,60734.786068148336
Ally Brooke,28,10.0,9.833333333333334,29.5,3,False,1.0,1.0,21.454545454545453,3rd Place,3,True,311228.64917852764
Hannah Brown,28,10.0,9.0,27.0,3,False,3.0,3.0,19.63636363636364,1st Place,1,True,174159.3604647214
James Van Der Beek,28,10.0,8.5,25.5,3,False,5.0,5.0,18.545454545454547,Eliminated Week 10,5,True,82775.49177504999
Kel Mitchell,28,10.0,9.5,28.5,3,False,2.0,2.0,20.727272727272727,2nd Place,2,True,257674.50951320928
Lauren Alaina,28,10.0,9.0,27.0,3,False,3.0,3.0,19.63636363636364,4th Place,4,True,174161.98906849162
Ally Brooke,28,11.0,10.0,30.0,3,False,1.0,1.0,25.64102564102564,3rd Place,3,False,374535.2402969573
Hannah Brown,28,11.0,9.666666666666666,29.0,3,False,3.0,3.0,24.786324786324787,1st Place,1,False,210730.4199391623
Kel Mitchell,28,11.0,9.833333333333334,29.5,3,False,2.0,2.0,25.213675213675213,2nd Place,2,False,294418.3418147374
Lauren Alaina,28,11.0,9.5,28.5,3,False,4.0,4.0,24.35897435897436,4th Place,4,False,120315.9979491429
AJ McLean,29,1.0,6.0,18.0,3,False,6.0,6.0,6.923076923076923,Eliminated Week 9,7,True,67529.69989602912
Anne Heche,29,1.0,6.0,18.0,3,False,6.0,6.0,6.923076923076923,Eliminated Week 4,13,True,67529.74593074783
Carole Baskin,29,1.0,3.6666666666666665,11.0,3,False,15.0,15.0,4.230769230769231,Eliminated Week 3,14,True,11986.884864009917
Charles Oakley,29,1.0,4.0,12.0,3,False,14.0,14.0,4.615384615384616,Eliminated Week 2,15,True,20994.41607057881
Chrishell Stause,29,1.0,4.333333333333333,13.0,3,False,13.0,13.0,5.0,Eliminated Week 8,8,True,29332.064473135717
Jeannie Mai,29,1.0,6.0,18.0,3,False,6.0,6.0,6.923076923076923,Withdrew,9,True,67529.71998615975
Jesse Metcalfe,29,1.0,6.0,18.0,3,False,6.0,6.0,6.923076923076923,Eliminated Week 5,12,True,67529.76687770349
Johnny Weir,29,1.0,6.0,18.0,3,False,6.0,6.0,6.923076923076923,Eliminated Week 10,6,True,67529.7045195288
Justina Machado,29,1.0,7.0,21.0,3,False,1.0,1.0,8.076923076923077,4th Place,4,True,114174.49121525796
Kaitlyn Bristowe,29,1.0,6.666666666666667,20.0,3,False,3.0,3.0,7.6923076923076925,1st Place,1,True,100007.80193919376
Monica Aldama,29,1.0,6.333333333333333,19.0,3,False,5.0,5.0,7.307692307692308,Eliminated Week 7,10,True,89290.53939398853
Nelly,29,1.0,5.333333333333333,16.0,3,False,12.0,12.0,6.153846153846154,3rd Place,3,True,37313.78398625966
Nev Schulman,29,1.0,6.666666666666667,20.0,3,False,3.0,3.0,7.6923076923076925,2nd Place,2,True,100007.77236029984
Skai Jackson,29,1.0,7.0,21.0,3,False,1.0,1.0,8.076923076923077,Eliminated Week 10,5,True,114174.49754304848
Veron Davis,29,1.0,5.666666666666667,17.0,3,False,11.0,11.0,6.538461538461539,Eliminated Week 6,11,True,45069.11094405837
AJ McLean,29,2.0,6.333333333333333,19.0,3,False,5.0,5.0,6.95970695970696,Eliminated Week 9,7,True,89231.2174543866
Anne Heche,29,2.0,6.0,18.0,3,False,6.0,6.0,6.593406593406594,Eliminated Week 4,13,True,63804.661422969686
Carole Baskin,29,2.0,5.333333333333333,16.0,3,False,12.0,12.0,5.86080586080586,Eliminated Week 3,14,True,33335.04536472477
Charles Oakley,29,2.0,5.0,15.0,3,False,14.0,14.0,5.494505494505495,Eliminated Week 2,15,True,16599.241924846967
Chrishell Stause,29,2.0,6.0,18.0,3,False,6.0,6.0,6.593406593406594,Eliminated Week 8,8,True,63804.67119696252
Jeannie Mai,29,2.0,6.0,18.0,3,False,6.0,6.0,6.593406593406594,Withdrew,9,True,63804.647853111615
Jesse Metcalfe,29,2.0,6.666666666666667,20.0,3,False,4.0,4.0,7.326007326007327,Eliminated Week 5,12,True,96381.16235137812
Johnny Weir,29,2.0,6.0,18.0,3,False,6.0,6.0,6.593406593406594,Eliminated Week 10,6,True,63804.65618378684
Justina Machado,29,2.0,7.0,21.0,3,False,2.0,2.0,7.6923076923076925,4th Place,4,True,107035.84275787964
Kaitlyn Bristowe,29,2.0,7.333333333333333,22.0,3,False,1.0,1.0,8.058608058608058,1st Place,1,True,117619.36778372512
Monica Aldama,29,2.0,5.333333333333333,16.0,3,False,12.0,12.0,5.86080586080586,Eliminated Week 7,10,True,33335.04616398084
Nelly,29,2.0,6.0,18.0,3,False,6.0,6.0,6.593406593406594,3rd Place,3,True,63804.644701126585
Nev Schulman,29,2.0,7.0,21.0,3,False,2.0,2.0,7.6923076923076925,2nd Place,2,True,107035.87745135668
Skai Jackson,29,2.0,5.0,15.0,3,False,14.0,14.0,5.494505494505495,Eliminated Week 10,5,True,16599.272170366556
Veron Davis,29,2.0,6.0,18.0,3,False,6.0,6.0,6.593406593406594,Eliminated Week 6,11,True,63804.64521939749
AJ McLean,29,3.0,7.0,21.0,3,False,7.0,7.0,7.473309608540925,Eliminated Week 9,7,True,72384.1033663107
Anne Heche,29,3.0,5.0,15.0,3,False,13.0,13.0,5.338078291814947,Eliminated Week 4,13,True,23801.57620214428
Carole Baskin,29,3.0,4.0,12.0,3,False,14.0,14.0,4.270462633451958,Eliminated Week 3,14,True,13589.609143271646
Chrishell Stause,29,3.0,7.333333333333333,22.0,3,False,4.0,4.0,7.829181494661921,Eliminated Week 8,8,True,93068.30528828008
Jeannie Mai,29,3.0,7.333333333333333,22.0,3,False,4.0,4.0,7.829181494661921,Withdrew,9,True,93068.33544726996
Jesse Metcalfe,29,3.0,6.666666666666667,20.0,3,False,9.0,9.0,7.11743772241993,Eliminated Week 5,12,True,59707.65365308512
Johnny Weir,29,3.0,8.0,24.0,3,False,1.0,1.0,8.540925266903916,Eliminated Week 10,6,True,121428.38568644012
Justina Machado,29,3.0,6.333333333333333,19.0,3,False,10.0,10.0,6.761565836298933,4th Place,4,True,51095.35613995
Kaitlyn Bristowe,29,3.0,7.666666666666667,23.0,3,False,3.0,3.0,8.185053380782918,1st Place,1,True,109340.98003809928
Monica Aldama,29,3.0,7.0,21.0,3,False,7.0,7.0,7.473309608540925,Eliminated Week 7,10,True,72384.07200231553
Nelly,29,3.0,6.0,18.0,3,False,11.0,11.0,6.405693950177936,3rd Place,3,True,37817.44427895987
Nev Schulman,29,3.0,8.0,24.0,3,False,1.0,1.0,8.540925266903916,2nd Place,2,True,121428.33936084367
Skai Jackson,29,3.0,6.0,18.0,3,False,11.0,11.0,6.405693950177936,Eliminated Week 10,5,True,37817.49559087155
Veron Davis,29,3.0,7.333333333333333,22.0,3,False,4.0,4.0,7.829181494661921,Eliminated Week 6,11,True,93068.34380215826
AJ McLean,29,4.0,8.0,24.0,3,False,3.0,3.0,7.973421926910299,Eliminated Week 9,7,True,96836.5293021602
