celebrity_name,season,week,weekly_avg_score,weekly_total_score,num_judges,was_eliminated,weekly_rank_by_avg,weekly_rank_by_total,weekly_score_percentage,results,placement,percentage_rank
Adam Rippon,26,4.0,9.666666666666666,29.0,3,False,1.0,1.0,33.91812865497076,1st Place,1,1.0
Aiden Turner,10,1.0,5.0,15.0,3,False,10.0,10.0,7.177033492822966,Eliminated Week 4,9,7.0
Aiden Turner,10,2.0,6.333333333333333,19.0,3,False,8.0,8.0,8.636363636363637,Eliminated Week 4,9,7.0
Aiden Turner,10,3.0,6.666666666666667,20.0,3,False,7.0,7.0,9.852216748768472,Eliminated Week 4,9,4.0
Aiden Turner,10,4.0,5.5,16.5,3,False,8.0,8.0,8.89487870619946,Eliminated Week 4,9,8.0
Albert Reed,5,1.0,7.0,21.0,3,False,5.0,5.0,8.171206225680933,Eliminated Week 2,11,4.0
Albert Reed,5,2.0,7.0,21.0,3,False,5.0,5.0,8.823529411764707,Eliminated Week 2,11,5.0
Alek Skarlatos,21,1.0,7.333333333333333,22.0,3,False,5.0,5.0,8.799999999999999,3rd Place,3,3.0
Alek Skarlatos,21,2.0,7.5,22.5,3,False,4.0,4.0,8.317929759704251,3rd Place,3,4.0
Alek Skarlatos,21,3.0,8.25,33.0,4,False,3.0,3.0,10.81967213114754,3rd Place,3,2.0
Alek Skarlatos,21,4.0,8.0,24.0,3,False,6.0,6.0,10.16949152542373,3rd Place,3,4.0
Alek Skarlatos,21,5.0,7.25,29.0,4,False,7.0,7.0,9.634551495016613,3rd Place,3,7.0
Alek Skarlatos,21,6.0,7.5,30.0,4,False,7.0,7.0,9.584664536741212,3rd Place,3,5.0
Alek Skarlatos,21,7.0,8.833333333333334,26.5,3,False,8.0,8.0,11.990950226244344,3rd Place,3,5.0
Alek Skarlatos,21,8.0,8.333333333333334,25.0,3,False,6.0,6.0,12.886637793725134,3rd Place,3,5.0
Alek Skarlatos,21,9.0,8.5,25.5,3,False,5.0,5.0,15.501519756838904,3rd Place,3,4.0
Alek Skarlatos,21,10.0,9.5,28.5,3,False,3.0,3.0,24.050632911392405,3rd Place,3,2.0
Alek Skarlatos,21,11.0,9.3333,27.9999,3,False,4.0,4.0,23.728748922668576,3rd Place,3,2.0
Alexa PenaVega,21,1.0,7.333333333333333,22.0,3,False,5.0,5.0,8.799999999999999,Eliminated Week 9,6,3.0
Alexa PenaVega,21,2.0,7.666666666666667,23.0,3,False,3.0,3.0,8.502772643253234,Eliminated Week 9,6,3.0
Alexa PenaVega,21,3.0,9.0,36.0,4,False,1.0,1.0,11.80327868852459,Eliminated Week 9,6,1.0
Alexa PenaVega,21,4.0,7.0,21.0,3,False,8.0,8.0,8.898305084745763,Eliminated Week 9,6,6.0
Alexa PenaVega,21,5.0,10.0,40.0,4,False,1.0,1.0,13.2890365448505,Eliminated Week 9,6,1.0
Alexa PenaVega,21,6.0,7.5,30.0,4,False,7.0,7.0,9.584664536741212,Eliminated Week 9,6,5.0
Alexa PenaVega,21,7.0,9.166666666666666,27.5,3,False,5.0,5.0,12.44343891402715,Eliminated Week 9,6,3.0
Alexa PenaVega,21,8.0,8.999933333333333,26.9998,3,False,5.0,5.0,13.917465724120795,Eliminated Week 9,6,4.0
Alexa PenaVega,21,9.0,10.0,30.0,3,False,1.0,1.0,18.237082066869306,Eliminated Week 9,6,1.0
Alexandra Raisman,16,1.0,7.0,21.0,3,False,2.0,2.0,9.170305676855897,Eliminated Week 10,4,2.0
Alexandra Raisman,16,2.0,8.0,24.0,3,False,3.0,3.0,9.836065573770492,Eliminated Week 10,4,2.0
Alexandra Raisman,16,3.0,7.666666666666667,23.0,3,False,4.0,4.0,9.78725070170332,Eliminated Week 10,4,3.0
Alexandra Raisman,16,4.0,9.0,27.0,3,False,1.0,1.0,12.053571428571429,Eliminated Week 10,4,1.0
Alexandra Raisman,16,5.0,8.333333333333334,25.0,3,False,4.0,4.0,11.961722488038278,Eliminated Week 10,4,4.0
Alexandra Raisman,16,6.0,8.666666666666666,26.0,3,False,2.0,2.0,13.79310344827586,Eliminated Week 10,4,2.0
Alexandra Raisman,16,7.0,10.666666666666666,32.0,3,False,1.0,1.0,17.391304347826086,Eliminated Week 10,4,1.0
Alexandra Raisman,16,8.0,9.333333333333334,28.0,3,False,2.0,2.0,18.006430868167204,Eliminated Week 10,4,2.0
Alexandra Raisman,16,9.0,9.833333333333334,29.5,3,False,1.0,1.0,20.92198581560284,Eliminated Week 10,4,1.0
Alexandra Raisman,16,10.0,9.666666666666666,29.0,3,False,3.0,3.0,24.786345971235875,Eliminated Week 10,4,2.0
Alexis Ren,27,1.0,7.333333333333333,22.0,3,False,3.0,3.0,8.627450980392156,4th Place,4,2.0
Alexis Ren,27,2.0,8.166666666666666,24.5,3,False,4.0,4.0,9.057301293900183,4th Place,4,2.0
Alexis Ren,27,3.0,8.666666666666666,26.0,3,False,5.0,5.0,9.59409594095941,4th Place,4,3.0
Alexis Ren,27,4.0,8.333333333333334,25.0,3,False,4.0,4.0,10.775862068965516,4th Place,4,3.0
Alexis Ren,27,5.0,9.666666666666666,29.0,3,False,1.0,1.0,13.063063063063062,4th Place,4,1.0
Alexis Ren,27,6.0,9.0,27.0,3,False,4.0,4.0,11.790393013100436,4th Place,4,3.0
Alexis Ren,27,7.0,9.166666666666666,27.5,3,False,4.0,4.0,12.643678160919542,4th Place,4,4.0
Alexis Ren,27,8.0,9.666666666666666,29.0,3,False,2.0,2.0,18.012422360248447,4th Place,4,2.0
Alexis Ren,27,9.0,9.5,28.5,3,False,3.0,3.0,24.675324675324678,4th Place,4,2.0
Alfonso Ribeiro,19,1.0,9.0,36.0,4,False,1.0,1.0,9.67741935483871,1st Place,1,1.0
Alfonso Ribeiro,19,2.0,8.0,32.0,4,False,4.0,4.0,8.83977900552486,1st Place,1,4.0
Alfonso Ribeiro,19,3.0,8.0,32.0,4,False,4.0,4.0,9.06515580736544,1st Place,1,3.0
Alfonso Ribeiro,19,4.0,10.0,40.0,4,False,1.0,1.0,12.5,1st Place,1,1.0
Alfonso Ribeiro,19,5.0,8.5,34.0,4,False,2.0,2.0,12.87878787878788,1st Place,1,2.0
Alfonso Ribeiro,19,6.0,9.75,39.0,4,False,1.0,1.0,13.31058020477816,1st Place,1,1.0
Alfonso Ribeiro,19,7.0,8.5,34.0,4,False,3.0,3.0,13.152804642166345,1st Place,1,3.0
Alfonso Ribeiro,19,8.0,10.25,41.0,4,False,2.0,2.0,16.532258064516128,1st Place,1,2.0
Alfonso Ribeiro,19,9.0,9.625,38.5,4,False,1.0,1.0,17.990654205607477,1st Place,1,1.0
Alfonso Ribeiro,19,10.0,9.375,37.5,4,False,3.0,3.0,20.54794520547945,1st Place,1,3.0
Alfonso Ribeiro,19,11.0,10.0,40.0,4,False,1.0,1.0,25.586408499804904,1st Place,1,1.0
Amber Riley,17,1.0,9.0,27.0,3,False,1.0,1.0,10.546875,1st Place,1,1.0
Amber Riley,17,2.0,8.0,24.0,3,False,4.0,4.0,9.022556390977442,1st Place,1,3.0
Amber Riley,17,3.0,8.0,24.0,3,False,6.0,6.0,9.411764705882351,1st Place,1,4.0
Amber Riley,17,4.0,9.0,27.0,3,False,1.0,1.0,11.39240506329114,1st Place,1,1.0
Amber Riley,17,5.0,8.666666666666666,26.0,3,False,6.0,6.0,11.063829787234042,1st Place,1,3.0
Amber Riley,17,6.0,10.666633333333332,31.9999,3,False,1.0,1.0,13.852818537899696,1st Place,1,1.0
Amber Riley,17,7.0,9.833333333333334,29.5,3,False,1.0,1.0,13.31828442437923,1st Place,1,1.0
Amber Riley,17,8.0,9.333333333333334,28.0,3,False,3.0,3.0,14.583333333333334,1st Place,1,2.0
Amber Riley,17,9.0,8.5,25.5,3,False,5.0,5.0,16.19047619047619,1st Place,1,4.0
Amber Riley,17,10.0,9.875,39.5,4,False,1.0,1.0,22.57142857142857,1st Place,1,1.0
Amber Riley,17,11.0,10.4444,31.3332,3,False,1.0,1.0,27.365383574062395,1st Place,1,1.0
Amber Rose,23,1.0,6.0,24.0,4,False,9.0,9.0,7.272727272727272,Eliminated Week 6,9,5.0
Amber Rose,23,2.0,6.0,24.0,4,False,10.0,10.0,6.8181818181818175,Eliminated Week 6,9,8.0
Amber Rose,23,3.0,6.25,25.0,4,False,8.0,8.0,7.6923076923076925,Eliminated Week 6,9,7.0
Amber Rose,23,4.0,8.0,24.0,3,False,4.0,4.0,9.195402298850574,Eliminated Week 6,9,4.0
Amber Rose,23,5.0,8.0,24.0,3,False,6.0,6.0,10.434782608695652,Eliminated Week 6,9,5.0
Amber Rose,23,6.0,7.0,28.0,4,False,9.0,9.0,9.18032786885246,Eliminated Week 6,9,7.0
Amy Purdy,18,1.0,8.0,24.0,3,False,3.0,3.0,9.16030534351145,2nd Place,2,3.0
Amy Purdy,18,2.0,8.0,24.0,3,False,4.0,4.0,9.836065573770492,2nd Place,2,2.0
Amy Purdy,18,3.0,9.0,36.0,4,False,2.0,2.0,11.57556270096463,2nd Place,2,2.0
Amy Purdy,18,4.0,8.5,34.0,4,False,3.0,3.0,11.447811447811448,2nd Place,2,3.0
Amy Purdy,18,5.0,9.25,37.0,4,False,3.0,3.0,11.490683229813664,2nd Place,2,3.0
Amy Purdy,18,6.0,9.5,38.0,4,False,2.0,2.0,13.47517730496454,2nd Place,2,2.0
Amy Purdy,18,7.0,9.375,37.5,4,False,2.0,2.0,14.82213438735178,2nd Place,2,2.0
Amy Purdy,18,8.0,10.0,40.0,4,False,1.0,1.0,17.699115044247787,2nd Place,2,1.0
Amy Purdy,18,9.0,9.75,39.0,4,False,2.0,2.0,20.418848167539267,2nd Place,2,2.0
Amy Purdy,18,10.0,9.888866666666669,29.666600000000003,3,False,2.0,2.0,25.87209505138384,2nd Place,2,2.0
Andy Dick,16,1.0,5.666666666666667,17.0,3,False,11.0,11.0,7.423580786026202,Eliminated Week 7,7,6.0
Andy Dick,16,2.0,6.666666666666667,20.0,3,False,5.0,5.0,8.19672131147541,Eliminated Week 7,7,4.0
Andy Dick,16,3.0,6.0,18.0,3,False,9.0,9.0,7.659587505680861,Eliminated Week 7,7,5.0
Andy Dick,16,4.0,7.0,21.0,3,False,6.0,6.0,9.375,Eliminated Week 7,7,5.0
Andy Dick,16,5.0,6.0,18.0,3,False,8.0,8.0,8.61244019138756,Eliminated Week 7,7,7.0
Andy Dick,16,6.0,7.166666666666667,21.5,3,False,7.0,7.0,11.405835543766578,Eliminated Week 7,7,6.0
Andy Dick,16,7.0,5.666666666666667,17.0,3,False,7.0,7.0,9.239130434782608,Eliminated Week 7,7,7.0
Andy Grammer,21,1.0,7.0,21.0,3,False,7.0,7.0,8.4,Eliminated Week 8,7,4.0
Andy Grammer,21,2.0,7.333333333333333,22.0,3,False,8.0,8.0,8.133086876155268,Eliminated Week 8,7,5.0
Andy Grammer,21,3.0,7.25,29.0,4,False,8.0,8.0,9.508196721311474,Eliminated Week 8,7,6.0
Andy Grammer,21,4.0,7.666666666666667,23.0,3,False,7.0,7.0,9.745762711864408,Eliminated Week 8,7,5.0
Andy Grammer,21,5.0,9.0,36.0,4,False,4.0,4.0,11.960132890365449,Eliminated Week 8,7,4.0
Andy Grammer,21,6.0,10.0,40.0,4,False,1.0,1.0,12.779552715654953,Eliminated Week 8,7,1.0
Andy Grammer,21,7.0,9.333333333333334,28.0,3,False,2.0,2.0,12.669683257918551,Eliminated Week 8,7,2.0
Andy Grammer,21,8.0,7.999933333333334,23.9998,3,False,7.0,7.0,12.37106918887378,Eliminated Week 8,7,6.0
Antonio Brown,22,1.0,7.0,21.0,3,False,4.0,4.0,8.860759493670885,Eliminated Week 9,5,2.0
Antonio Brown,22,2.0,6.333333333333333,19.0,3,False,9.0,9.0,8.050847457627118,Eliminated Week 9,5,4.0
Antonio Brown,22,3.0,6.666666666666667,20.0,3,False,8.0,8.0,8.438818565400844,Eliminated Week 9,5,6.0
Antonio Brown,22,4.0,8.75,35.0,4,False,3.0,3.0,10.9717868338558,Eliminated Week 9,5,2.0
Antonio Brown,22,5.0,6.5,26.0,4,False,9.0,9.0,9.420289855072465,Eliminated Week 9,5,8.0
Antonio Brown,22,6.0,9.0,27.0,3,False,3.0,3.0,11.894273127753303,Eliminated Week 9,5,3.0
Antonio Brown,22,7.0,8.666666666666666,26.0,3,False,5.0,5.0,12.149532710280374,Eliminated Week 9,5,3.0
Antonio Brown,22,8.0,9.0,27.0,3,False,5.0,5.0,15.976331360946746,Eliminated Week 9,5,4.0
Antonio Brown,22,9.0,9.166666666666666,27.5,3,False,5.0,5.0,19.16376306620209,Eliminated Week 9,5,5.0
Antonio Sabato Jr.,19,1.0,6.25,25.0,4,False,10.0,10.0,6.720430107526881,Eliminated Week 7,8,8.0
Antonio Sabato Jr.,19,2.0,7.75,31.0,4,False,5.0,5.0,8.56353591160221,Eliminated Week 7,8,5.0
Antonio Sabato Jr.,19,3.0,7.25,29.0,4,False,8.0,8.0,8.21529745042493,Eliminated Week 7,8,5.0
Antonio Sabato Jr.,19,4.0,7.25,29.0,4,False,6.0,6.0,9.0625,Eliminated Week 7,8,6.0
Antonio Sabato Jr.,19,5.0,7.0,28.0,4,False,6.0,6.0,10.606060606060606,Eliminated Week 7,8,5.0
Antonio Sabato Jr.,19,6.0,7.0,28.0,4,False,8.0,8.0,9.55631399317406,Eliminated Week 7,8,7.0
Antonio Sabato Jr.,19,7.0,7.375,29.5,4,False,7.0,7.0,11.411992263056092,Eliminated Week 7,8,7.0
Apolo Anton Ohno,4,1.0,7.0,21.0,3,False,3.0,3.0,10.194174757281552,1st Place,1,3.0
Apolo Anton Ohno,4,2.0,8.666666666666666,26.0,3,False,2.0,2.0,10.612244897959185,1st Place,1,2.0
Apolo Anton Ohno,4,3.0,7.666666666666667,23.0,3,False,5.0,5.0,10.550458715596331,1st Place,1,2.0
Apolo Anton Ohno,4,4.0,8.666666666666666,26.0,3,False,2.0,2.0,13.684210526315791,1st Place,1,2.0
Apolo Anton Ohno,4,5.0,10.0,30.0,3,False,1.0,1.0,17.045454545454543,1st Place,1,1.0
Apolo Anton Ohno,4,6.0,9.333333333333334,28.0,3,False,1.0,1.0,16.470588235294116,1st Place,1,1.0
Apolo Anton Ohno,4,7.0,9.0,27.0,3,False,3.0,3.0,17.475728155339805,1st Place,1,2.0
Apolo Anton Ohno,4,8.0,9.666666666666666,29.0,3,False,1.0,1.0,23.10756972111553,1st Place,1,1.0
Apolo Anton Ohno,4,9.0,9.833333333333334,29.5,3,False,3.0,3.0,24.89451476793249,1st Place,1,2.0
Apolo Anton Ohno,4,10.0,9.777733333333334,29.3332,3,False,1.0,1.0,33.97685007685367,1st Place,1,1.0
Apolo Anton Ohno,15,1.0,7.333333333333333,22.0,3,False,4.0,4.0,7.956600361663653,Eliminated Week 9,5,4.0
Apolo Anton Ohno,15,2.0,8.166666666666666,24.5,3,False,4.0,4.0,8.876811594202898,Eliminated Week 9,5,4.0
Apolo Anton Ohno,15,3.0,8.5,25.5,3,False,4.0,4.0,9.172661870503598,Eliminated Week 9,5,3.0
Apolo Anton Ohno,15,4.0,8.625,34.5,4,False,7.0,7.0,10.730948678071538,Eliminated Week 9,5,6.0
Apolo Anton Ohno,15,5.0,9.416666666666666,28.25,3,False,2.0,2.0,12.710911136107988,Eliminated Week 9,5,2.0
Apolo Anton Ohno,15,6.0,10.0,30.0,3,False,1.0,1.0,13.274336283185844,Eliminated Week 9,5,1.0
Apolo Anton Ohno,15,7.0,11.0,33.0,3,False,6.0,6.0,13.636403080504778,Eliminated Week 9,5,6.0
Apolo Anton Ohno,15,8.0,9.759233333333333,29.2777,3,False,2.0,2.0,14.69193195013584,Eliminated Week 9,5,2.0
Apolo Anton Ohno,15,9.0,9.537,28.611,3,False,3.0,3.0,20.291532535175605,Eliminated Week 9,5,3.0
Arike Ogunbowale,26,1.0,6.666666666666667,20.0,3,False,7.0,7.0,9.523809523809524,Eliminated Week 2,7,4.0
Arike Ogunbowale,26,2.0,8.75,35.0,4,False,3.0,3.0,13.084112149532707,Eliminated Week 2,7,2.0
Ashley Hamiliton,9,1.0,6.3333,18.9999,3,False,15.0,15.0,4.679796767671991,Eliminated Week 1,16,12.0
Audrina Patridge,11,1.0,6.333333333333333,19.0,3,False,5.0,5.0,8.370044052863436,Eliminated Week 6,7,4.0
Audrina Patridge,11,2.0,7.666666666666667,23.0,3,False,2.0,2.0,10.407239819004523,Eliminated Week 6,7,2.0
Audrina Patridge,11,3.0,8.666666666666666,26.0,3,False,1.0,1.0,11.76470588235294,Eliminated Week 6,7,1.0
Audrina Patridge,11,4.0,7.666666666666667,23.0,3,False,3.0,3.0,12.849162011173185,Eliminated Week 6,7,3.0
Audrina Patridge,11,5.0,7.666666666666667,23.0,3,False,5.0,5.0,12.637362637362637,Eliminated Week 6,7,4.0
Audrina Patridge,11,6.0,10.6666,31.9998,3,False,2.0,2.0,15.458892856159418,Eliminated Week 6,7,2.0
Babyface,23,1.0,6.5,26.0,4,False,5.0,5.0,7.878787878787878,Eliminated Week 4,11,3.0
Babyface,23,2.0,7.5,30.0,4,False,3.0,3.0,8.522727272727272,Eliminated Week 4,11,3.0
Babyface,23,3.0,6.25,25.0,4,False,8.0,8.0,7.6923076923076925,Eliminated Week 4,11,7.0
Babyface,23,4.0,6.0,18.0,3,False,11.0,11.0,6.896551724137931,Eliminated Week 4,11,8.0
Barbara Corcoran,25,1.0,4.666666666666667,14.0,3,False,13.0,13.0,5.857740585774058,Eliminated Week 2,13,9.0
Barbara Corcoran,25,2.0,5.666666666666667,17.0,3,False,13.0,13.0,6.215722120658136,Eliminated Week 2,13,8.0
Belinda Carlisle,8,1.0,5.666666666666667,17.0,3,False,9.0,9.0,6.995884773662551,Eliminated Week 2,13,7.0
Belinda Carlisle,8,2.0,6.0,18.0,3,False,9.0,9.0,6.79245283018868,Eliminated Week 2,13,7.0
Bethany Mota,19,1.0,8.0,32.0,4,False,3.0,3.0,8.60215053763441,Eliminated Week 11,4,3.0
Bethany Mota,19,2.0,8.25,33.0,4,False,3.0,3.0,9.116022099447514,Eliminated Week 11,4,3.0
Bethany Mota,19,3.0,10.0,40.0,4,False,1.0,1.0,11.3314447592068,Eliminated Week 11,4,1.0
Bethany Mota,19,4.0,8.25,33.0,4,False,5.0,5.0,10.3125,Eliminated Week 11,4,5.0
Bethany Mota,19,5.0,8.0,32.0,4,False,5.0,5.0,12.12121212121212,Eliminated Week 11,4,4.0
Bethany Mota,19,6.0,9.0,36.0,4,False,2.0,2.0,12.286689419795222,Eliminated Week 11,4,2.0
Bethany Mota,19,7.0,9.375,37.5,4,False,1.0,1.0,14.50676982591876,Eliminated Week 11,4,1.0
Bethany Mota,19,8.0,10.0,40.0,4,False,3.0,3.0,16.129032258064516,Eliminated Week 11,4,3.0
Bethany Mota,19,9.0,9.25,37.0,4,False,3.0,3.0,17.289719626168225,Eliminated Week 11,4,2.0
Bethany Mota,19,10.0,9.5,38.0,4,False,2.0,2.0,20.82191780821918,Eliminated Week 11,4,2.0
Bethany Mota,19,11.0,9.5,38.0,4,False,4.0,4.0,24.307088074814654,Eliminated Week 11,4,4.0
Betsey Johnson,19,1.0,5.0,20.0,4,False,13.0,13.0,5.376344086021505,Eliminated Week 4,10,10.0
Betsey Johnson,19,2.0,7.0,28.0,4,False,8.0,8.0,7.734806629834254,Eliminated Week 4,10,7.0
Betsey Johnson,19,3.0,7.25,29.0,4,False,8.0,8.0,8.21529745042493,Eliminated Week 4,10,5.0
Betsey Johnson,19,4.0,7.25,29.0,4,False,6.0,6.0,9.0625,Eliminated Week 4,10,6.0
Bill Engvall,17,1.0,6.0,18.0,3,False,10.0,10.0,7.03125,Eliminated Week 11,4,6.0
Bill Engvall,17,2.0,7.0,21.0,3,False,8.0,8.0,7.894736842105263,Eliminated Week 11,4,5.0
Bill Engvall,17,3.0,8.0,24.0,3,False,6.0,6.0,9.411764705882351,Eliminated Week 11,4,4.0
Bill Engvall,17,4.0,7.0,21.0,3,False,8.0,8.0,8.860759493670885,Eliminated Week 11,4,3.0
Bill Engvall,17,5.0,8.0,24.0,3,False,8.0,8.0,10.212765957446807,Eliminated Week 11,4,4.0
Bill Engvall,17,6.0,7.999966666666666,23.9999,3,False,8.0,8.0,10.389603080876473,Eliminated Week 11,4,8.0
Bill Engvall,17,7.0,8.333333333333334,25.0,3,False,8.0,8.0,11.286681715575622,Eliminated Week 11,4,5.0
Bill Engvall,17,8.0,8.0,24.0,3,False,7.0,7.0,12.5,Eliminated Week 11,4,5.0
Bill Engvall,17,9.0,7.0,21.0,3,False,6.0,6.0,13.333333333333334,Eliminated Week 11,4,5.0
Bill Engvall,17,10.0,7.5,30.0,4,False,5.0,5.0,17.142857142857142,Eliminated Week 11,4,5.0
Bill Engvall,17,11.0,8.499966666666666,25.4999,3,False,4.0,4.0,22.270771724567982,Eliminated Week 11,4,4.0
Bill Nye,17,1.0,4.666666666666667,14.0,3,False,12.0,12.0,5.46875,Eliminated Week 3,11,8.0
Bill Nye,17,2.0,5.666666666666667,17.0,3,False,12.0,12.0,6.390977443609022,Eliminated Week 3,11,9.0
Bill Nye,17,3.0,5.333333333333333,16.0,3,False,10.0,10.0,6.2745098039215685,Eliminated Week 3,11,6.0
Billy Dee Williams,18,1.0,5.0,15.0,3,False,12.0,12.0,5.7251908396946565,Withdrew,10,8.0
Billy Dee Williams,18,2.0,5.0,15.0,3,False,11.0,11.0,6.147540983606557,Withdrew,10,5.0
Billy Ray Cyrus,4,1.0,4.333333333333333,13.0,3,False,11.0,11.0,6.310679611650485,Eliminated Week 8,5,9.0
Billy Ray Cyrus,4,2.0,7.0,21.0,3,False,6.0,6.0,8.571428571428571,Eliminated Week 8,5,5.0
Billy Ray Cyrus,4,3.0,7.0,21.0,3,False,6.0,6.0,9.63302752293578,Eliminated Week 8,5,3.0
Billy Ray Cyrus,4,4.0,7.0,21.0,3,False,5.0,5.0,11.052631578947368,Eliminated Week 8,5,5.0
Billy Ray Cyrus,4,5.0,5.666666666666667,17.0,3,False,7.0,7.0,9.659090909090908,Eliminated Week 8,5,7.0
Billy Ray Cyrus,4,6.0,7.0,21.0,3,False,6.0,6.0,12.352941176470589,Eliminated Week 8,5,5.0
Billy Ray Cyrus,4,7.0,6.333333333333333,19.0,3,False,6.0,6.0,12.297734627831716,Eliminated Week 8,5,4.0
Billy Ray Cyrus,4,8.0,6.333333333333333,19.0,3,False,5.0,5.0,15.139442231075698,Eliminated Week 8,5,5.0
Bindi Irwin,21,1.0,8.0,24.0,3,False,1.0,1.0,9.6,1st Place,1,1.0
Bindi Irwin,21,2.0,8.0,24.0,3,False,2.0,2.0,8.872458410351202,1st Place,1,2.0
Bindi Irwin,21,3.0,8.0,32.0,4,False,5.0,5.0,10.491803278688524,1st Place,1,3.0
Bindi Irwin,21,4.0,9.333333333333334,28.0,3,False,1.0,1.0,11.864406779661016,1st Place,1,1.0
Bindi Irwin,21,5.0,9.25,37.0,4,False,3.0,3.0,12.29235880398671,1st Place,1,3.0
Bindi Irwin,21,6.0,10.0,40.0,4,False,1.0,1.0,12.779552715654953,1st Place,1,1.0
Bindi Irwin,21,7.0,9.666666666666666,29.0,3,False,1.0,1.0,13.12217194570136,1st Place,1,1.0
Bindi Irwin,21,8.0,9.333333333333334,28.0,3,False,3.0,3.0,14.43303432897215,1st Place,1,3.0
Bindi Irwin,21,9.0,10.0,30.0,3,False,1.0,1.0,18.237082066869306,1st Place,1,1.0
Bindi Irwin,21,10.0,10.5,31.5,3,False,1.0,1.0,26.58227848101265,1st Place,1,1.0
Bindi Irwin,21,11.0,10.0,30.0,3,False,1.0,1.0,25.423750359110475,1st Place,1,1.0
Bobby Bones,27,1.0,6.666666666666667,20.0,3,False,5.0,5.0,7.84313725490196,1st Place,1,3.0
Bobby Bones,27,2.0,6.5,19.5,3,False,10.0,10.0,7.208872458410351,1st Place,1,8.0
Bobby Bones,27,3.0,7.666666666666667,23.0,3,False,8.0,8.0,8.487084870848708,1st Place,1,5.0
Bobby Bones,27,4.0,6.666666666666667,20.0,3,False,9.0,9.0,8.620689655172415,1st Place,1,7.0
Bobby Bones,27,5.0,7.0,21.0,3,False,8.0,8.0,9.45945945945946,1st Place,1,6.0
Bobby Bones,27,6.0,7.333333333333333,22.0,3,False,7.0,7.0,9.60698689956332,1st Place,1,6.0
Bobby Bones,27,7.0,8.833333333333334,26.5,3,False,6.0,6.0,12.183908045977011,1st Place,1,6.0
Bobby Bones,27,8.0,7.5,22.5,3,False,6.0,6.0,13.975155279503104,1st Place,1,5.0
Bobby Bones,27,9.0,9.0,27.0,3,False,4.0,4.0,23.37662337662337,1st Place,1,3.0
Bonner Bolton,24,1.0,5.5,22.0,4,False,9.0,9.0,7.28476821192053,Eliminated Week 8,5,6.0
Bonner Bolton,24,2.0,7.0,28.0,4,False,5.0,5.0,8.536585365853659,Eliminated Week 8,5,4.0
Bonner Bolton,24,3.0,6.0,24.0,4,False,9.0,9.0,7.6190476190476195,Eliminated Week 8,5,7.0
Bonner Bolton,24,4.0,8.0,32.0,4,False,5.0,5.0,9.8159509202454,Eliminated Week 8,5,5.0
Bonner Bolton,24,5.0,7.5,30.0,4,False,8.0,8.0,9.86842105263158,Eliminated Week 8,5,6.0
Bonner Bolton,24,6.0,7.875,31.5,4,False,6.0,6.0,11.71003717472119,Eliminated Week 8,5,6.0
Bonner Bolton,24,7.0,7.75,31.0,4,False,7.0,7.0,12.25296442687747,Eliminated Week 8,5,6.0
Bonner Bolton,24,8.0,7.25,29.0,4,False,5.0,5.0,16.6189111747851,Eliminated Week 8,5,5.0
Brandy,11,1.0,7.666666666666667,23.0,3,False,2.0,2.0,10.13215859030837,Eliminated Week 9,4,2.0
Brandy,11,2.0,7.0,21.0,3,False,5.0,5.0,9.502262443438914,Eliminated Week 9,4,4.0
