season,week,n_players,avg_std_fan_percentage,avg_ci_width,solution_space_compactness
23.0,1.0,13,0.286740708498917,1.1199340355824936,2.5857117650773516
23.0,2.0,13,0.28721358142703923,1.1189152254053418,2.5825540424346536
23.0,3.0,12,0.28554778822960625,1.105966888365187,2.5937121947758848
23.0,4.0,11,0.2837561807543602,1.106515190530557,2.605821222303891
23.0,5.0,9,0.2840306876122709,1.0996129993591912,2.603958569606892
23.0,6.0,9,0.2844603678467659,1.1236800657305357,2.601048335880928
18.0,1.0,12,0.2850730170081524,1.1145510310953257,2.5969100815465054
18.0,2.0,11,0.28906352415467274,1.1289193097436365,2.5702743585966408
18.0,3.0,9,0.27900503188449755,1.082805729503003,2.6384873969292095
18.0,4.0,9,0.2832028997171796,1.115167735785668,2.609583593281897
18.0,5.0,9,0.27991169772791535,1.100741050248117,2.632190601080619
18.0,6.0,8,0.281410111504255,1.0751067660643243,2.62184973559319
18.0,7.0,7,0.27528454208274444,1.0685119618310115,2.6646447904574644
18.0,8.0,6,0.2743014281023439,1.0824110807353806,2.671643560298075
18.0,9.0,5,0.2680986083560562,1.0408418355934992,2.7166633540562453
18.0,10.0,4,0.25451139412995244,0.9984337098613709,2.8207838071163156
22.0,1.0,12,0.28800940521309554,1.124652383936223,2.577257114298036
22.0,2.0,12,0.28731129068178574,1.1107502906919813,2.5819025266206306
22.0,3.0,11,0.2860125667255878,1.1342388872573153,2.590589235170909
22.0,4.0,10,0.2860021317212935,1.112923868032726,2.590659267970141
22.0,5.0,9,0.283531180801358,1.1010002442918536,2.607349936739379
22.0,6.0,9,0.2800547530130208,1.087302151411543,2.6311998260043854
22.0,7.0,8,0.27928037657166693,1.0935127775118993,2.636571944583706
22.0,8.0,6,0.2743472613329481,1.069640514115149,2.671316457449892
22.0,9.0,5,0.2646554854067838,1.0309275452548292,2.7423144310703864
4.0,1.0,11,0.28756716659887666,1.1342464937946353,2.5801979274342854
4.0,2.0,11,0.2865604569853166,1.1233730337018175,2.586917471587076
4.0,3.0,10,0.2866008898108048,1.1195675433547838,2.5866469176762146
4.0,4.0,9,0.2858082656903983,1.1028523685142386,2.5919610566417353
4.0,5.0,8,0.2819172742158058,1.1049984171229181,2.6183680799809568
4.0,6.0,7,0.27959607133880443,1.096266975174176,2.6343792138656266
4.0,7.0,6,0.27506675687941334,1.0878038245102426,2.666192035572769
4.0,8.0,5,0.2696253460764849,1.0517557059357578,2.705442174393188
4.0,9.0,4,0.2600121828519978,1.016729333962739,2.7776837774712293
4.0,10.0,3,0.24429784262754897,0.9682476775127308,2.904461998275632
15.0,1.0,13,0.2870492375831668,1.136970475678523,2.5836506131474453
15.0,2.0,12,0.2906196417733717,1.1413706575427434,2.5600351161557215
15.0,3.0,11,0.28731685005951385,1.1214503718708086,2.5818654671139227
15.0,4.0,9,0.2817332223954673,1.0970161027239367,2.61963052030096
15.0,5.0,8,0.28470986242296314,1.0988666887907987,2.599361486866604
15.0,6.0,8,0.28124366428585884,1.1098442171517047,2.6229944092925144
15.0,7.0,7,0.2808977461771952,1.103868600285097,2.6253765217471146
15.0,8.0,7,0.27711920380297533,1.0870051769440974,2.6516814575225043
15.0,9.0,5,0.26740914405259525,1.0555345636214093,2.721761328446546
11.0,1.0,12,0.2896048754153932,1.1340024102202826,2.566702993472063
11.0,2.0,11,0.28804278752822604,1.1219270056676003,2.5770353995492323
11.0,3.0,10,0.28201720176999306,1.0932665197002858,2.617683170722991
11.0,4.0,9,0.27973660386804206,1.0843201596011705,2.633404285533397
11.0,5.0,8,0.27806866064034436,1.0791287998778467,2.645022198629939
11.0,6.0,7,0.28265591521913125,1.10797288053622,2.613313842090593
25.0,1.0,13,0.28896179755189483,1.1189872986607257,2.5709465718585927
25.0,2.0,13,0.28505725375245977,1.1048929603133861,2.597016392380095
8.0,1.0,13,0.2908201414509071,1.1341225077186317,2.5587217595478378
8.0,2.0,13,0.289417871259428,1.132968895928354,2.5679355617806396
24.0,1.0,12,0.28753374256795033,1.1186410440103656,2.580420464482933
24.0,2.0,12,0.28798604272628725,1.1142245368380344,2.5774123032190377
24.0,3.0,11,0.28659506656647993,1.1321162524007955,2.586685880090085
24.0,4.0,10,0.2870986227104717,1.1149210784002157,2.5833209971091646
24.0,5.0,9,0.28374173372003353,1.1204666484963477,2.6059193257556137
24.0,6.0,8,0.2769746973387063,1.0847834209621063,2.6526979318760873
24.0,7.0,7,0.27928706332635744,1.087108905327202,2.6365254623502685
24.0,8.0,5,0.26799677156518925,1.0442056060148217,2.7174151440153427
11.0,7.0,6,0.27372895049650303,1.0627912980776566,2.6757359810405084
11.0,8.0,5,0.2703360559064157,1.050019082780952,2.7002501756207637
11.0,9.0,4,0.2577114441435648,1.010110996529864,2.795549363521782
11.0,10.0,3,0.24109568865596712,0.9129859981616804,2.931728641720274
7.0,1.0,13,0.2890780496401334,1.1248271215419472,2.5701784023152205
7.0,2.0,11,0.2858264479541624,1.1134772502479875,2.591838909184379
7.0,3.0,9,0.2852411803297794,1.1059556111335953,2.5957764929075506
7.0,4.0,9,0.2850945409000873,1.125632340735538,2.596764933781416
7.0,5.0,8,0.2763221281088587,1.0839828764133566,2.657297898014464
7.0,6.0,7,0.2783676682693426,1.0906828996761988,2.6429319518076415
7.0,7.0,6,0.2730852868581988,1.0612323014809795,2.6803522819705226
7.0,8.0,5,0.26711442840349964,1.0488338612376338,2.723946330164089
7.0,9.0,4,0.2618985163059245,1.0244740723827341,2.7632055809664267
7.0,10.0,3,0.24263321665540197,0.9518968559695141,2.9185728393804107
23.0,7.0,8,0.2800343278946151,1.09270558659649,2.6313412410399506
23.0,8.0,7,0.27856247803206197,1.0745402443478507,2.641571888472544
23.0,9.0,6,0.27218339926446217,1.06222799591477,2.6868474036624894
23.0,10.0,5,0.265693391896317,1.0481485552597463,2.7345312279624796
23.0,11.0,4,0.26142183309425004,1.006525275811681,2.7668500030523178
5.0,3.0,10,0.2857700711326393,1.1175410338946317,2.592217683097998
5.0,4.0,9,0.2795819859180027,1.095425978851851,2.634476969663202
5.0,5.0,8,0.2805013995442134,1.1038466861931775,2.628111226917583
5.0,6.0,7,0.27716659904598095,1.0845180351239911,2.6513482437984615
5.0,7.0,6,0.27305937685220316,1.0743966536656877,2.680538439853169
5.0,8.0,5,0.2707849585088266,1.0544090869918379,2.696981031867275
13.0,1.0,12,0.2856367857548316,1.108086597102357,2.5931136160743478
13.0,2.0,11,0.2890649825031313,1.1380364763165767,2.570264724330342
13.0,3.0,10,0.2880645779597075,1.1173822961876538,2.576890694991052
13.0,4.0,9,0.28290535730952365,1.102349086131858,2.611611409739677
13.0,5.0,8,0.2759228721482826,1.09432116957834,2.6601201312527496
10.0,5.0,8,0.28371051482210097,1.1090609492100205,2.606131344781178
10.0,6.0,7,0.27676794842102387,1.0858166981240085,2.6541535823066824
10.0,7.0,6,0.2747049868079175,1.0652002866735586,2.6687661899536534
10.0,8.0,5,0.2629034815314478,1.0344947310421084,2.755553613814928
10.0,9.0,4,0.2551012634266362,0.988981138772326,2.8160981190273904
20.0,1.0,12,0.28601108280692483,1.1268849243854129,2.5905991940137643
20.0,2.0,12,0.2903762089167234,1.1234945304300186,2.561631516364574
20.0,3.0,11,0.28595148661501035,1.1206216012056758,2.590999217985933
13.0,6.0,7,0.2791420847913349,1.1043463491037946,2.6375336321483833
12.0,1.0,11,0.2850612337866615,1.103275159595851,2.5969895493401913
12.0,2.0,11,0.28975546312397266,1.1308405359176184,2.5657113103297844
12.0,3.0,10,0.282887588155889,1.1054219088363173,2.6117326101280143
12.0,4.0,9,0.27955645626636527,1.0859468217333121,2.6346541693344814
12.0,5.0,8,0.284470921215929,1.1085659969525545,2.600976939523532
12.0,6.0,7,0.27868782733648073,1.086797839012491,2.640697502831154
12.0,7.0,6,0.27290859247266935,1.0507038745130945,2.6816223068748153
12.0,8.0,5,0.2667332110291043,1.040972016554899,2.7267778590159892
12.0,9.0,4,0.2635312034808999,1.02249350177547,2.7507955037277574
12.0,10.0,3,0.24782716253141654,0.9503967052130721,2.8749911097287515
20.0,4.0,10,0.28308237204927217,1.1106232648492065,2.6104046360853683
20.0,5.0,9,0.2809966427450583,1.0905177597559341,2.6246950440168164
20.0,6.0,8,0.2822763142702721,1.1042726628369404,2.6159088666241375
20.0,7.0,7,0.27826065883821677,1.0887627855169637,2.6436796336985786
20.0,8.0,6,0.2762760523806129,1.084709594842636,2.6576232892665574
8.0,3.0,12,0.2892933871305339,1.1249171314211956,2.568756709100456
8.0,4.0,11,0.28496612526561443,1.1072046778628908,2.597631153416503
8.0,5.0,9,0.28273780855541353,1.1023793070468941,2.6127546786515556
8.0,6.0,8,0.27814880585512486,1.0773493157389178,2.644461610128994
8.0,7.0,7,0.274537803035442,1.071173287380549,2.669957456618528
8.0,8.0,6,0.27577238638064633,1.0687329226527862,2.661185430977968
6.0,5.0,8,0.27699962647829834,1.091720917641134,2.6525225219488755
6.0,6.0,7,0.27774073994223925,1.094763326770681,2.6473183701416776
6.0,7.0,6,0.27125124641997106,1.0546102148699144,2.6935936502386
6.0,8.0,5,0.26745952402918394,1.0456820661811057,2.721388165518277
6.0,9.0,4,0.2647961293657809,1.0436474685447497,2.741257155712035
6.0,10.0,3,0.24381924575957528,0.947015156319902,2.9085050134141603
13.0,7.0,6,0.2714442175010364,1.0642147285878405,2.692194286204522
24.0,9.0,4,0.2632852961184715,1.0248499095079264,2.7526575137626503
24.0,10.0,3,0.248588746086268,0.9708789661191529,2.8687099375047587
25.0,3.0,11,0.2882363709873827,1.122861225711347,2.57575043125596
25.0,4.0,11,0.28324948215415263,1.1066133871497283,2.6092664088656865
14.0,1.0,12,0.287749029876763,1.1268460418421606,2.57898775483159
14.0,2.0,12,0.28804110368922436,1.1188734061586418,2.577046582160232
14.0,3.0,11,0.28404222071410135,1.1096757452504362,2.6038803706023925
14.0,4.0,10,0.28592496939912393,1.1212517776874222,2.591177247631778
14.0,5.0,9,0.2847947428510351,1.106649685036521,2.5987881034724225
14.0,6.0,8,0.27888084000242747,1.0920076410735895,2.639352256486744
14.0,7.0,7,0.2792715256987947,1.099912343396785,2.6366334729651384
14.0,8.0,6,0.2734243216585098,1.0705547023069497,2.6779187696148057
14.0,9.0,4,0.2580780105130429,1.0096806567588663,2.7926875447258865
14.0,10.0,3,0.24891664265626487,0.9673177064712348,2.8660140496225903
9.0,9.0,4,0.25999086696077023,1.0062259326648801,2.777848250547352
9.0,10.0,3,0.2559568799632561,0.993263200603843,2.8093290403692315
25.0,5.0,10,0.28854113851347857,1.1315238683368776,2.573730040082512
25.0,6.0,9,0.2855306004885331,1.1162976070154462,2.593827827759532
25.0,7.0,8,0.28373114658982757,1.1156512129048275,2.605991222987447
25.0,8.0,6,0.2731150825442417,1.0507036629892934,2.6801382382643992
25.0,9.0,5,0.26649511539302007,1.0547160405351157,2.728549325760114
25.0,10.0,4,0.2622792841513229,1.0158541330020423,2.76030135794986
3.0,1.0,11,0.2867295918410748,1.1116552009040381,2.585786092135785
3.0,2.0,10,0.28285449440696253,1.1087131835823594,2.6119583669743496
3.0,3.0,9,0.27989461918871317,1.0915983093828867,2.6323089338184302
3.0,4.0,8,0.2861840126368141,1.1107235264442628,2.5894391463078192
3.0,5.0,7,0.2765189990884555,1.0976262131846997,2.655908473200499
3.0,6.0,5,0.27031456747961724,1.0506781825832192,2.7004068643749526
3.0,7.0,5,0.27369816730919383,1.0672968094572326,2.67595639336548
3.0,8.0,4,0.25425742897302195,1.006991227515572,2.822806011151156
3.0,9.0,3,0.24622251784495078,0.9798804209405461,2.88831589067188
3.0,10.0,2,0.21066175478128357,0.8176906022400559,3.2189350140767536
10.0,10.0,3,0.24238321464242105,0.9338601203492848,2.920703928328911
8.0,9.0,5,0.269252019814315,1.050609990599839,2.7081774677979227
8.0,10.0,4,0.2567260453402321,0.9902609889265603,2.803271622755319
8.0,11.0,3,0.23992763369312053,0.9520036529666621,2.941802609971918
22.0,10.0,3,0.2443926295367591,0.9813162778069066,2.9036626055124795
5.0,9.0,4,0.25775111222237485,1.0005938382770045,2.795239388042514
5.0,10.0,3,0.2446718883433396,0.9471374270708802,2.9013100105334537
13.0,8.0,5,0.26988283851486217,1.0436586181593086,2.703558791792443
13.0,9.0,4,0.2627833270261961,1.0246772280921288,2.75646625824067
13.0,10.0,3,0.23946123799818694,0.9460315412374977,2.945844438372492
15.0,10.0,3,0.2448530211048953,0.937151474996971,2.899786108284741
20.0,9.0,4,0.2588880899918511,1.0130573629409172,2.786383911549436
20.0,10.0,3,0.2450341293632582,0.9495997618374119,2.898264011868756
