celebrity_name,judge_percentage,eliminated_this_week,mean_fan_percentage,std_fan_percentage,fan_percentage_ci_low,fan_percentage_ci_high,fan_percentage_ci_width,mode_fan_percentage,mean_fan_votes,fan_votes_ci_low,fan_votes_ci_high,fan_votes_ci_width,combined_percentage_mean,certainty_index,season,week
Debi Mazar,7.142857142857142,False,7.138384045312495,0.294083533102279,6.572072643234252,7.696824321092253,1.1247516778580007,7.1,71424.30774773043,66308.46790243161,76454.85432338639,10.146386420954775,14.281241188169638,2.5375330761167927,9.0,2.0
Donny Osmond,8.503401360544217,False,8.524980166670119,0.2859847431965506,7.991987857793879,9.100062098888813,1.1080742410949336,8.5,83872.18788995795,79101.9863170605,89019.84500087547,9.917858683814979,17.028381527214336,2.590775976579938,9.0,2.0
Joanna Krupa,6.802721088435375,False,6.7864090898475045,0.2889755364386311,6.236343993140252,7.350954007952261,1.1146100148120093,6.7,68243.16166635728,63259.668062353645,73336.97338850233,10.077305326148686,13.589130178282879,2.570855764235884,9.0,2.0
Kathy Ireland,6.122448979591836,False,6.127086710265953,0.2984124361945941,5.585100412152628,6.727290156654477,1.1421897445018487,6.0,62255.76663714915,57308.69561521239,67719.173802353,10.410478187140615,12.24953568985779,2.509961811311473,9.0,2.0
Kelly Osbourne,6.462585034013606,False,6.459033744197036,0.2880043869106678,5.922401574124031,7.011965755596638,1.089564181472607,6.5,65275.21998308652,60397.11202306175,70288.98377220813,9.891871749146375,12.921618778210643,2.5772904475696943,9.0,2.0
Louie Vito,6.462585034013606,False,6.459048033492583,0.28042487083444934,5.898742599582931,7.0062654308780665,1.1075228312951353,6.4,65275.52189919931,60176.659243174516,70240.86552217798,10.06420627900346,12.921633067506189,2.6286399146473607,9.0,2.0
Mark Dacascos,7.142857142857142,False,7.140161397746408,0.30867376598091995,6.522572466489363,7.7308072540043495,1.2082347875149866,7.2,71440.01662938112,65850.08385551977,76757.555605223,10.907471749703225,14.28301854060355,2.446939547489054,9.0,2.0
Melissa Joan Hart,6.462585034013606,False,6.469672745123251,0.29577818135045597,5.895838634861189,7.028320197034428,1.132481562173239,6.4,65371.596925085025,60151.854583328946,70424.99074503349,10.27313616170454,12.932257779136858,2.526667833451168,9.0,2.0
Michael Irvin,6.802721088435375,False,6.786961282609096,0.2878389113215305,6.263140171151243,7.379729567510131,1.1165893963588873,6.8,68248.2042253356,63500.52920962298,73604.22543085401,10.103696221231031,13.589682371044471,2.5783900759018197,9.0,2.0
Mya,9.183673469387756,False,9.19551335624408,0.29308719420428886,8.651509925704456,9.771397784751967,1.1198878590475108,9.1,89850.43613041058,84993.21096755088,94970.63199151913,9.977421023968244,18.379186825631834,2.5439648371762944,9.0,2.0
Natalie Coughlin,7.142857142857142,False,7.151937457240947,0.28852130239247453,6.619947868050125,7.732543707855885,1.1125958398057598,7.1,71546.73694260624,66745.10430897,76776.58957801732,10.03148526904732,14.29479460009809,2.573861442968769,9.0,2.0
Tom DeLay,6.122448979591836,False,6.134112157965931,0.28694509708098764,5.568420939056547,6.691876739265491,1.1234558002089443,6.1,62320.083266814196,57152.960090170294,67384.95385749252,10.23199376732223,12.256561137557767,2.5843459641787367,9.0,2.0
Aaron Carter,8.13953488372093,False,8.143874644600338,0.2786633893276867,7.580462881665751,8.69125196197776,1.11078908031201,8.2,81073.54250972548,75992.91715157582,86004.06500659899,10.01114785502317,16.28340952832127,2.640867926987847,9.0,3.0
Chuck Liddell,6.5891472868217065,False,6.5879798491689305,0.29050819045453524,6.034806928704378,7.156681480183112,1.1218745514787338,6.6,66949.175888184,61884.320995596514,72136.64673198469,10.25232573638817,13.177127135990638,2.5607657520218505,9.0,3.0
Debi Mazar,6.5891472868217065,False,6.60862572871215,0.2804838019765248,6.077404560250935,7.168229778670001,1.0908252184190657,6.5,67138.07492709058,62286.65649405328,72233.2819177712,9.946625423717917,13.197773015533857,2.6282327783869714,9.0,3.0
Donny Osmond,8.13953488372093,False,8.13626572249658,0.2975079794961001,7.539451840387734,8.710503409362149,1.1710515689744145,8.0,81004.52581470652,75610.42948266257,86192.42894085671,10.581999458194144,16.27580060621751,2.5156727703117996,9.0,3.0
Joanna Krupa,8.914728682170542,False,8.899997818625252,0.29468915684039987,8.335426597967128,9.484716959755842,1.1492903617887134,9.0,87880.07824732744,82805.40336706933,93130.55289445733,10.325149527388,17.814726500795793,2.533639403740623,9.0,3.0
Kelly Osbourne,7.751937984496124,False,7.747928273288497,0.28227919804850016,7.149281246336783,8.266503237551797,1.1172219912150139,7.8,77495.35507045878,72068.09261060762,82176.99270134342,10.108900090735798,15.499866257784621,2.6158891331385727,9.0,3.0
Louie Vito,7.751937984496124,False,7.752180019878124,0.28713540815649,7.2074884867404805,8.319433878665995,1.1119453919255147,7.8,77533.7477227202,72597.04402384374,82664.66966801965,10.067625644175903,15.504118004374249,2.583075531018786,9.0,3.0
Mark Dacascos,6.976744186046512,False,6.986334610435692,0.2857375005407881,6.423196737810494,7.549837549614422,1.1266408118039273,7.1,70582.69711142365,65453.99503690131,75700.10113006696,10.246106093165654,13.963078796482204,2.5924365626832784,9.0,3.0
Melissa Joan Hart,7.3643410852713185,False,7.362977043394491,0.29859713918832625,6.826483704537696,7.957311252123941,1.1308275475862448,7.2,74006.27415192791,69131.52547077376,79383.13841039942,10.251612939625659,14.72731812866581,2.50879873858685,9.0,3.0
Michael Irvin,5.426356589147287,False,5.4291672230277035,0.2875769759575571,4.839287729350129,5.996073982413869,1.15678625306374,5.5,56296.155811427176,50828.15968217163,61531.876102074646,10.703716419903015,10.85552381217499,2.5801326240532623,9.0,3.0
Mya,10.465116279069768,False,10.44489047857338,0.29981570582042866,9.849638111987453,11.023066070521518,1.1734279585340648,10.4,101696.81856817049,96370.29488847572,106855.32095500974,10.485026066534017,20.910006757643146,2.501152369559827,9.0,3.0
Natalie Coughlin,10.07751937984496,False,10.088095857581175,0.285995684372211,9.531450771204982,10.642630663870934,1.1111798926659517,10.1,98515.61240236815,93543.78942164512,103474.85655892214,9.931067137277015,20.165615237426135,2.590702540175843,9.0,3.0
Tom DeLay,5.813953488372093,False,5.811682730217689,0.28489139121357615,5.262434747685527,6.3656629437482115,1.1032281960626849,5.7,59827.9417744696,54764.31090694913,64907.19273544931,10.142881828500176,11.625636218589783,2.5981355333694647,9.0,3.0
Aaron Carter,7.43801652892562,False,7.430876637447528,0.2801743338974715,6.865057844798727,7.961014442805521,1.0959565980067936,7.4,75791.52993622755,70587.31874952296,80666.12935494965,10.078810605426682,14.868893166373148,2.6303722025319263,9.0,4.0
Chuck Liddell,7.024793388429752,False,7.0185042943590155,0.28718021968059554,6.436538915250951,7.610475926464969,1.1739370112140177,7.0,71985.58549464818,66599.06403948991,77437.17806285113,10.838114023361225,14.043297682788769,2.582776570623753,9.0,4.0
Donny Osmond,9.917355371900827,False,9.904105496267217,0.29199428797843746,9.349198485730936,10.44304141973279,1.093842934001854,9.8,98390.14346489316,93342.79910578871,103263.6184395567,9.920819333767984,19.821460868168046,2.5510575808569107,9.0,4.0
Joanna Krupa,10.743801652892564,False,10.735287818167272,0.2932083427105482,10.175986473115845,11.307814625607394,1.1318281524915488,10.6,105915.67044890081,100847.42704767807,111084.28816202587,10.236861114347805,21.479089471059837,2.5431810350375206,9.0,4.0
Kelly Osbourne,9.50413223140496,False,9.51005006538344,0.281073253723566,8.976651282613496,10.060402615891482,1.083751333277986,9.4,94811.76396572092,89956.09587835408,99814.49487629705,9.858398997942961,19.014182296788398,2.624167375245414,9.0,4.0
Louie Vito,6.6115702479338845,False,6.625097234562638,0.28688181126802054,6.034392862445778,7.169523791833824,1.1351309293880458,6.6,68342.25050276484,62857.63278710713,73383.96467249293,10.5263318853858,13.236667482496522,2.584768709395927,9.0,4.0
Mark Dacascos,9.090909090909092,False,9.096316985947157,0.2821881514655825,8.554225898129484,9.657902303855137,1.1036764057256523,8.9,91046.45887884907,86101.75247971837,96147.81796181636,10.046065482097983,18.18722607685625,2.616512302030519,9.0,4.0
Melissa Joan Hart,11.570247933884298,False,11.568661698427476,0.2889593395711812,10.9921205609197,12.136590137073302,1.1444695761536021,11.5,113433.38947207185,108223.89132554468,118569.40052635442,10.345509200809742,23.138909632311773,2.570962818639288,9.0,4.0
Michael Irvin,6.6115702479338845,False,6.610751214084265,0.28701778282892315,6.02148356693441,7.15348558671283,1.1320020197784206,6.7,68209.14318303995,62730.940846075515,73227.19652347169,10.496255677396176,13.222321462018149,2.583860598576264,9.0,4.0
Mya,11.570247933884298,False,11.565209679658794,0.2875207422909506,10.980044786521121,12.087423161939059,1.1073783754179374,11.5,113402.30130204883,108114.62100372861,118131.6250346053,10.017004030876691,23.135457613543092,2.5805070306383757,9.0,4.0
Natalie Coughlin,9.917355371900827,False,9.935138875695197,0.282554183136787,9.389213795999437,10.49226416225063,1.1030503662511926,9.9,98671.76335083478,93710.1745888375,103715.54756644157,10.00537297760407,19.852494247596024,2.6140087968726706,9.0,4.0
Aaron Carter,9.917355371900827,False,9.907823323839036,0.2847800693135299,9.358613322831685,10.463036123210278,1.1044228003785932,9.8,99178.22969858913,94151.06262752527,104251.48068661372,10.10041805908845,19.825178695739865,2.598887207916092,9.0,5.0
Donny Osmond,11.983471074380166,False,11.97894138341994,0.29401471191411455,11.421366130875828,12.554258264352349,1.1328921334765205,11.9,118022.77763978815,112957.39955841901,123241.63138369906,10.284231825280047,23.962412457800106,2.5379762982504452,9.0,5.0
Joanna Krupa,9.917355371900827,False,9.932769550996554,0.27694961065704005,9.374913212040902,10.476259142617739,1.1013459305768372,9.9,99406.36170225454,94300.20138129983,104365.27352131014,10.065072140010306,19.85012492289738,2.6528744737445287,9.0,5.0
Kelly Osbourne,9.917355371900827,False,9.91478154374571,0.2935381490709915,9.338611971404337,10.446297839157435,1.1076858677530979,10.1,99241.72111224633,93970.58457959008,104099.09290020537,10.128508320615293,19.832136915646537,2.54104971109067,9.0,5.0
Louie Vito,9.090909090909092,False,9.089084860054696,0.29484467168901535,8.532750776933431,9.65931968339708,1.126568906463648,9.1,91677.58452321858,86563.18045777256,96906.82006463337,10.343639606860815,18.179993950963787,2.532641496014951,9.0,5.0
Mark Dacascos,10.743801652892564,False,10.741261970299972,0.28343415732258853,10.193556681211609,11.289422047772328,1.0958653665607194,10.8,106781.86431229445,101790.11245697227,111772.96365004452,9.982851193072245,21.485063623192538,2.6080096958046592,9.0,5.0
Melissa Joan Hart,9.50413223140496,False,9.506132078999523,0.28731549273651386,8.934266703621038,10.056661368738268,1.1223946651172305,9.4,95502.38339813174,90257.27968950824,100540.88996118704,10.283610271678802,19.01026431040448,2.581874515100505,9.0,5.0
Michael Irvin,8.677685950413224,False,8.678156216715953,0.26271269520982266,8.194949140827264,9.169523901829331,0.9745747610020672,8.7,87900.54666210453,83449.98924917296,92416.84476394176,8.966855514768802,17.355842167129175,2.7570030307914046,9.0,5.0
Mya,11.15702479338843,False,11.144382938748615,0.2911085463832216,10.613362843716992,11.718744063323369,1.105381219606377,11.0,110449.28895099336,105612.47004320653,115665.77454130985,10.053304498103316,22.301407732137044,2.5568349483730426,9.0,5.0
Natalie Coughlin,9.090909090909092,False,9.106666133180003,0.2790045846745447,8.554073278674334,9.637351742240083,1.0832784635657493,9.0,91839.24200037915,86764.10555908518,96702.55415455831,9.938448595473135,18.197575224089093,2.638490510236732,9.0,5.0
Aaron Carter,12.692274704027822,False,12.691563661353355,0.2896086188656439,12.138444681330974,13.272611230590467,1.1341665492594935,12.6,125636.65771029591,120570.91574764672,130939.25180276866,10.368336055121938,25.383838365381177,2.5666783319925703,9.0,6.0
Donny Osmond,11.92307973373754,False,11.948249988644692,0.28445577681508283,11.416154465902261,12.536369986283221,1.1202155203809596,11.9,118847.33629207689,113978.40706101398,124221.9273580479,10.24352029703393,23.87132972238223,2.6010793966583687,9.0,6.0
Joanna Krupa,13.846163313642238,False,13.838612927428079,0.28223943871993185,13.30874535579211,14.420849498998718,1.1121041432066079,13.8,136080.8731507264,131253.60269825908,141393.01949915834,10.139416800899257,27.684776241070317,2.616161229591757,9.0,6.0
Kelly Osbourne,9.615340976180304,False,9.606987289240694,0.2708510927356052,9.089277577817485,10.156869364168891,1.0675917863514055,9.6,97329.17899849369,92530.62364223054,102404.47681591542,9.873853173684882,19.222328265420998,2.696500076684257,9.0,6.0
Louie Vito,9.23080118354256,False,9.214971598033776,0.28962368435344804,8.65769083933051,9.781580168862282,1.1238893295317727,9.2,93702.35632548106,88543.42062813946,98943.38025013074,10.399959621991279,18.445772781576338,2.5665790868422866,9.0,6.0
Mark Dacascos,12.307734911390078,False,12.316213453901623,0.2899362600093747,11.720209661797778,12.882516314911335,1.162306653113557,12.4,122210.4753995241,116761.30400680375,127390.7826930458,10.629478686242043,24.623948365291703,2.5645216989462796,9.0,6.0
Melissa Joan Hart,9.230762721870962,False,9.23322480042524,0.2825683259081405,8.692457738078657,9.799238021222406,1.106780283143749,9.2,93871.52064442942,88859.75158832697,99102.22893542485,10.242477347097884,18.4639875222962,2.613912162294671,9.0,6.0
Michael Irvin,8.461490828237482,False,8.47257666425857,0.28202832852767135,7.929593115762274,9.009219193218426,1.079626077456152,8.5,86812.22028054485,81760.52186188323,91789.209961222,10.028688099338774,16.93406749249605,2.6176069294493884,9.0,6.0
Mya,12.692351627371018,False,12.677599616713973,0.2780792070428574,12.17860264024919,13.24575709076949,1.0671544505203006,12.7,125509.38119842768,120947.90906740831,130693.98931620558,9.746080248797268,25.36995124408499,2.6449484165540067,9.0,6.0
Aaron Carter,15.0997150997151,False,15.095029196759421,0.2811757592182736,14.552778151985304,15.632406469518022,1.079628317532718,15.1,150354.249371768,145344.10939120516,155314.2683368713,9.970158945666132,30.19474429647452,2.623461686154516,9.0,7.0
Donny Osmond,14.814814814814811,False,14.8235070913936,0.2851141077271683,14.25958756752784,15.374920484923512,1.1153329173956728,14.9,147846.02852390046,142633.64042372888,152938.80274472965,10.305162321000767,29.63832190620841,2.596632997689204,9.0,7.0
Joanna Krupa,15.669515669515668,False,15.673623412777001,0.2875380880912515,15.09677771528245,16.22946691563236,1.1326892003499118,15.6,155693.2262625338,150371.11311865962,160816.0464332712,10.444933314611582,31.34313908229267,2.5803915298372826,9.0,7.0
Kelly Osbourne,14.814814814814811,False,14.80857250638769,0.26916570294809905,14.269782072138431,15.38169987389458,1.1119178017561477,14.8,147708.12473415892,142726.02441898535,152999.85940267437,10.273834983689012,29.6233873212025,2.708810683154361,9.0,7.0
Mark Dacascos,12.250712250712253,False,12.248032176421184,0.2702075137935923,11.72027332858774,12.820934406738838,1.1006610781510968,12.3,123957.06942745512,119043.51971659515,129284.866720838,10.241347004242852,24.49874442713344,2.701187746712094,9.0,7.0
Michael Irvin,13.390313390313391,False,13.378567674918537,0.27454194091983947,12.838218234128952,13.910870174975559,1.0726519408466064,13.4,134466.7721383198,129454.75555429111,139397.57637177032,9.942820817479209,26.76888106523193,2.6699279593203764,9.0,7.0
Mya,13.96011396011396,False,13.972667941342566,0.2758889626704628,13.438842280407084,14.514187214763913,1.0753449343568295,13.9,139974.52954186386,135025.6799861813,144994.28540034025,9.968605414158956,27.932781901456526,2.6603601044723617,9.0,7.0
Aaron Carter,19.083969465648856,False,19.087082328407902,0.2559277787269444,18.574679263435325,19.55343776684302,0.9787585034076969,19.1,191462.9029252412,186660.0885920118,195826.62254052752,9.166533948515717,38.17105179405676,2.8095587356983613,9.0,8.0
Donny Osmond,19.083969465648856,False,19.082562019190455,0.26999810522069795,18.521487242044806,19.580643922386805,1.0591566803419994,19.0,191420.47534105272,186164.89593219763,196088.25045936432,9.923354527166696,38.16653148483931,2.7027165433820692,9.0,8.0
Joanna Krupa,19.84732824427481,False,19.84093484493729,0.27631398148847514,19.30242318795013,20.39735783427599,1.0949346463258607,19.9,198523.4648110858,193483.97880857822,203731.541203826,10.247562395247776,39.6882630892121,2.6573554244373074,9.0,8.0
Kelly Osbourne,19.46564885496183,False,19.47380078651636,0.2653185588417714,18.963734096531937,20.008174607659846,1.0444405111279096,19.5,195086.03841642535,190308.0183911451,200090.09622756645,9.782077836421347,38.93944964147819,2.737336978363382,9.0,8.0
Mya,22.519083969465647,False,22.515620020947985,0.2652958683289982,22.00575824954303,23.033534994488747,1.0277767449457151,22.6,223507.11850619494,218748.3491159613,228339.91625777842,9.591567141817126,45.03470399041363,2.73750700924809,9.0,8.0
Adam Carolla,6.172839506172839,False,6.170989923037385,0.28304331682530204,5.617573397079736,6.730306017955549,1.1127326208758124,6.2,63605.26661486675,58484.173639239365,68755.52745864015,10.271353819400785,12.343829429210224,2.6106707938101916,6.0,1.0
Cristian de la Fuente,8.641975308641975,False,8.635219859115642,0.2924631750863433,8.076389286423687,9.208692154856985,1.1323028684332979,8.6,86142.15666040602,81077.1070618186,91334.92231507479,10.25781525325618,17.27719516775762,2.5480097585716073,6.0,1.0
Jason Taylor,9.053497942386832,False,9.047124907963145,0.28149662605827197,8.517079101783262,9.577681636327805,1.0606025345445431,9.0,89870.81361182887,85072.58585290889,94685.3064966503,9.612720643741413,18.10062285034998,2.6212551611066,6.0,1.0
Kristi Yamaguchi,11.11111111111111,False,11.109393575581661,0.2940337748071731,10.560619796823836,11.689389705697879,1.1287699088740428,11.2,108416.11780464723,103502.69289987971,113602.94076494384,10.100247865064128,22.22050468669277,2.5378535139262275,6.0,1.0
Mario,9.876543209876544,False,9.885016944779956,0.28422287408539576,9.336279138130363,10.422435613513644,1.0861564753832802,9.8,97428.51395089722,92482.16841448366,102273.32161637339,9.791153201889728,19.7615601546565,2.602656081786906,6.0,1.0
Marissa Jaret Winokur,7.4074074074074066,False,7.43388860246733,0.27884948722497177,6.895817864021953,7.986671549954505,1.0908536859325526,7.4,75210.60202069991,70290.9261536594,80249.41105326926,9.958484899609859,14.841296009874736,2.639570683663539,6.0,1.0
Marlee Matlin,9.053497942386832,False,9.053074868644464,0.2845350420702286,8.495327356885586,9.609346162431152,1.114018805545566,9.1,89924.54669032483,84859.4147875098,94946.23197846113,10.086817190951333,18.106572811031295,2.6005432290807127,6.0,1.0
Monica Seles,6.172839506172839,False,6.167550318808533,0.2762756052039281,5.619149722912549,6.692489003589554,1.073339280677005,6.2,63573.65726733315,58502.616477745396,68407.41477757326,9.90479829982786,12.340389824981372,2.657626447662041,6.0,1.0
Penn Jillette,6.584362139917696,False,6.584661402138971,0.2900936660104865,6.03612350205109,7.161818910291214,1.1256954082401238,6.6,67421.31791199218,62360.62785101903,72727.58652157949,10.366958670560459,13.169023542056667,2.5634868933583714,6.0,1.0
Priscilla Presley,9.876543209876544,False,9.871222152729839,0.28992022270418916,9.329258649873916,10.45066136479997,1.1214027149260541,9.9,97304.28359225568,92412.81222908312,102534.66346243503,10.121851233351903,19.747765362606383,2.5646271769767752,6.0,1.0
Shannon Elizabeth,8.641975308641975,False,8.6426116625903,0.29969930821372404,8.083859082370557,9.24065427224854,1.1567951898779825,8.7,86209.01982063388,81130.64280583292,91634.31516597509,10.503672360142168,17.284586971232272,2.5018807374699983,6.0,1.0
Steve Guttenberg,7.4074074074074066,False,7.399245782142776,0.2904414314799162,6.842863507468706,7.969946741264534,1.1270832337958288,7.4,74893.70405411426,69798.63818569914,80101.01817722869,10.302379991529554,14.806653189550183,2.5612036002676084,6.0,1.0
Adam Carolla,7.392996108949417,False,7.389859874175945,0.29631484465492824,6.800498474582941,7.968131551208038,1.1676330766250969,7.5,74812.63350543895,69419.62211386136,80096.81984660286,10.677197732741494,14.782855983125362,2.5232463872775215,6.0,2.0
Cristian de la Fuente,7.782101167315175,False,7.7780468795863875,0.29220946934294645,7.192796284035634,8.348347052821495,1.1555507687858615,7.8,78356.7184840184,73020.08506470335,83561.5370386329,10.54145197392955,15.560148046901563,2.549657971479531,6.0,2.0
Jason Taylor,10.505836575875486,False,10.503937776381246,0.292460611586352,9.929457850567342,11.102956181009395,1.1734983304420528,10.5,102997.11188513419,97825.67903784678,108393.90003064154,10.568220992794755,21.009774352256734,2.5480264018290475,6.0,2.0
Kristi Yamaguchi,10.505836575875486,False,10.524962151088415,0.27117044179616173,9.994603494249166,11.05351111966142,1.058907625412255,10.5,103186.00538764855,98421.02890179357,107943.04557108362,9.522016669290053,21.0307987269639,2.694180051517079,6.0,2.0
Mario,10.116731517509727,False,10.117795060691375,0.2842136511751393,9.562043080331025,10.696076173227098,1.1340330928960736,10.1,99528.82646246876,94514.01372404586,104725.0178745255,10.211004150479638,20.234526578201102,2.60271855760836,6.0,2.0
Marissa Jaret Winokur,8.171206225680933,False,8.164675603455082,0.2906348575191124,7.586992581024668,8.730723118587889,1.1437305375632212,8.2,81876.48233724812,76626.98900297312,87034.46461954179,10.40747561656867,16.335881829136014,2.5599353993929572,6.0,2.0
Marlee Matlin,9.33852140077821,False,9.341345447377412,0.2873327135347122,8.778946048423506,9.90882641120293,1.1298803627794243,9.4,92534.52606744773,87442.36448349243,97650.47753059227,10.208113047099832,18.679866848155623,2.581759725054521,6.0,2.0
Monica Seles,5.836575875486381,False,5.832753746977581,0.2903705841352505,5.269593442413116,6.441579083144209,1.1719856407310925,5.8,60476.44502753277,55253.75630178059,66101.55646817118,10.847800166390597,11.669329622463962,2.5616684264650766,6.0,2.0
Penn Jillette,6.614785992217899,False,6.614053966528819,0.28958859299694323,6.044766232904309,7.1634118885135205,1.1186456556092113,6.6,67696.28657877285,62449.25393511216,72743.79422721255,10.294540292100391,13.228839958746718,2.5668102659459695,6.0,2.0
Priscilla Presley,8.171206225680933,False,8.162450903011186,0.28133950777852806,7.624334788640382,8.734348617407274,1.1100138287668928,8.2,81856.4267645631,76960.34302425009,87041.84001780581,10.081496993555717,16.333657128692117,2.6223351622428104,6.0,2.0
Shannon Elizabeth,9.33852140077821,False,9.338527594017847,0.28701283359829777,8.78657306495755,9.891019513848454,1.1044464488909043,9.4,92509.08148807014,87522.3017934126,97504.96929654638,9.98266750313378,18.67704899479606,2.5838936417234057,6.0,2.0
Steve Guttenberg,6.22568093385214,False,6.231590996708701,0.28510124513823454,5.679183376996754,6.816812917609191,1.137629540612437,6.3,64169.45601165642,59057.22030779665,69562.9184619153,10.505698154118647,12.457271930560841,2.5967197266294053,6.0,2.0
Adam Carolla,9.210526315789473,False,9.209364715941774,0.2889409385412484,8.643513157951327,9.728326752231737,1.0848135942804102,9.2,92787.04199468123,87591.8440937522,97537.12988581423,9.94528579206203,18.419891031731247,2.5710844524378778,6.0,3.0
Cristian de la Fuente,10.964912280701752,False,10.963126623612144,0.2737826154704803,10.399571502697347,11.469924009864538,1.0703525071671915,11.0,108807.54964247132,103673.64507893805,113413.18060645445,9.739535527516404,21.928038904313894,2.6753518184394416,6.0,3.0
Jason Taylor,10.087719298245611,False,10.088521290967371,0.27769966281761543,9.53872848699483,10.6278724976688,1.0891440106739712,10.1,100835.28200705405,95802.565374755,105756.29023887304,9.95372486411805,20.17624058921298,2.6476062820391832,6.0,3.0
Kristi Yamaguchi,11.842105263157894,False,11.852418698941005,0.275497125711391,11.327194968244571,12.372798355041501,1.0456033867969303,11.9,116883.13750136684,112112.45744309033,121592.23386398755,9.479776420897222,23.6945239620989,2.6631362306847723,6.0,3.0
