celebrity_name,judge_percentage,was_eliminated,mean_fan_percentage,std_fan_percentage,fan_percentage_ci_low,fan_percentage_ci_high,fan_percentage_ci_width,mode_fan_percentage,mean_fan_votes,fan_votes_ci_low,fan_votes_ci_high,fan_votes_ci_width,combined_percentage_mean,certainty_index,season,week
Mark Dacascos,7.14283603088091,False,7.142836025910277,1.1964191665703268e-07,7.142835825617047,7.142836232690879,4.0707383153204546e-07,7.1,70560.57082065514,70560.56904201272,70560.57266268122,3.620668503572233e-06,14.285672056791189,9.999988035822648,9.0,1.0
Melissa Joan Hart,5.911353345234858,False,5.9113533710404305,1.24788251932734e-07,5.9113531293876385,5.911353652267183,5.228795441070133e-07,5.9,59527.25203814719,59527.24985906785,59527.254570935846,4.71186799404677e-06,11.822706716275288,9.999987521190379,9.0,1.0
Michael Irvin,4.67982139831093,False,4.67982138177376,1.3735964395716264e-07,4.679821092484707,4.679821664229351,5.717446445174801e-07,4.7,48339.11222712256,48339.109576447096,48339.11481481667,5.238369572907686e-06,9.35964278008469,9.999986264054472,9.0,1.0
Mya,7.635473440289418,False,7.635473443814379,1.3205579094599684e-07,7.635473197801788,7.635473709597778,5.117959904765712e-07,7.6,74940.79096428891,74940.78877650257,74940.7933281442,4.551641628495417e-06,15.270946884103797,9.999986794438344,9.0,1.0
Natalie Coughlin,6.6502232521113385,False,6.650223234780494,1.3048672263278866e-07,6.650222968885337,6.6502235165125105,5.476271738302785e-07,6.7,66162.54680918255,66162.5444339276,66162.54933107005,4.897142454865388e-06,13.300446486891833,9.999986951344763,9.0,1.0
Tom DeLay,4.926103157056776,False,4.92610315471947,1.1085385233930286e-07,4.926102917098963,4.926103372076798,4.5497783496273314e-07,4.9,50591.62397675888,50591.621805836745,50591.6259578065,4.151969755184837e-06,9.852206311776246,9.999988914627055,9.0,1.0
Aaron Carter,9.183673469387756,False,9.183673486447635,1.1432698932156915e-07,9.183673278413073,9.183673719133576,4.4072050364718507e-07,9.2,89742.7788353915,89742.77698083241,89742.78090916746,3.9283350488403814e-06,18.36734695583539,9.999988567314139,9.0,2.0
Chuck Liddell,6.462585034013606,False,6.462585037754095,1.2274861057447815e-07,6.462584812833806,6.4625852462129485,4.3337914235053177e-07,6.5,65307.987502580574,65307.98546007965,65307.98939251545,3.93243579310365e-06,12.9251700717677,9.99998772515401,9.0,2.0
Debi Mazar,7.142857142857142,False,7.142857131759594,1.3491032135384024e-07,7.1428567950200845,7.142857396344022,6.013239373103829e-07,7.1,71464.45932653663,71464.45629048419,71464.46171504518,5.42456099356059e-06,14.285714274616737,9.999986508986064,9.0,2.0
Donny Osmond,8.503401360544217,False,8.50340135586035,1.2052745883521382e-07,8.503401121528979,8.503401565050241,4.4352126238322853e-07,8.5,83677.57786171543,83677.57576515716,83677.57973584018,3.970683013903909e-06,17.006802716404565,9.999987947268643,9.0,2.0
Joanna Krupa,6.802721088435375,False,6.802721090129236,1.3567744054254367e-07,6.802720823356485,6.802721338592448,5.152359632276671e-07,6.8,68390.92470001295,68390.92228748504,68390.92694858294,4.661097904318012e-06,13.60544217856461,9.999986432274353,9.0,2.0
Kathy Ireland,6.122448979591836,False,6.122448955892538,1.3219611034465729e-07,6.12244867044466,6.1224491696369885,4.991923283625965e-07,6.1,62214.84338831495,62214.840790053626,62214.84533390854,4.543854913208634e-06,12.244897935484374,9.99998678040644,9.0,2.0
Kelly Osbourne,6.462585034013606,False,6.462585026902345,1.1021430533076641e-07,6.462584799683207,6.462585214717453,4.150342460818024e-07,6.5,65307.98740406384,65307.985343211054,65307.98910970982,3.7664987685275262e-06,12.925170060915951,9.999988978581612,9.0,2.0
Louie Vito,6.462585034013606,False,6.462585021280216,1.1282648610963646e-07,6.462584815213902,6.462585247459279,4.322453763805356e-07,6.5,65307.987353023804,65307.98548228808,65307.98940394454,3.921656461898237e-06,12.925170055293822,9.999988717364118,9.0,2.0
Mark Dacascos,7.142857142857142,False,7.142857155795605,1.1662014286558262e-07,7.142856924971426,7.1428573860394655,4.6106803974765853e-07,7.1,71464.45954341559,71464.45746101596,71464.46162508638,4.1640704148449e-06,14.285714298652747,9.999988337999314,9.0,2.0
Melissa Joan Hart,6.462585034013606,False,6.462585041954591,1.3346479607831546e-07,6.462584762692004,6.462585305309405,5.426174007894247e-07,6.5,65307.98754071444,65307.98500413904,65307.98993032327,4.926184228679631e-06,12.925170075968197,9.999986653538205,9.0,2.0
Michael Irvin,6.802721088435375,False,6.8027210887951375,1.3238133521321333e-07,6.802720811629309,6.8027213717945445,5.601652350861741e-07,6.8,68390.92468793986,68390.92218136111,68390.92724946182,5.068100712378509e-06,13.605442177230511,9.999986761884003,9.0,2.0
Mya,9.183673469387756,False,9.18367346958917,1.4407429710802528e-07,9.183673249276847,9.183673815107449,5.658306019284964e-07,9.2,89742.7786853833,89742.77672270249,89742.78176607827,5.043375786044635e-06,18.367346938976926,9.999985592591047,9.0,2.0
Natalie Coughlin,7.142857142857142,False,7.142857144885305,1.3504136882786968e-07,7.142856903234242,7.1428574609208875,5.576866453083085e-07,7.1,71464.45944497104,71464.45726297956,71464.46229752863,5.03454907448031e-06,14.285714287742447,9.999986495881354,9.0,2.0
Tom DeLay,6.122448979591836,False,6.122448992954186,1.3889176722598982e-07,6.122448726353277,6.122449296399491,5.700462137880891e-07,6.1,62214.84372593608,62214.841297276806,62214.846487177485,5.189900679397397e-06,12.244897972546022,9.999986110842567,9.0,2.0
Aaron Carter,8.13953488372093,False,8.139534904213113,1.2217450692501363e-07,8.139534695029399,8.139535156965433,4.6193603431277097e-07,8.1,81033.94801130045,81033.94612313618,81033.95028601558,4.162879398791119e-06,16.27906978793404,9.999987782564233,9.0,3.0
Chuck Liddell,6.5891472868217065,False,6.5891472886880145,1.0987529412096834e-07,6.589147048487852,6.589147473869737,4.2538188527174725e-07,6.6,66961.2669415535,66961.26474769837,66961.2686298275,3.882129123667255e-06,13.178294575509721,9.99998901248266,9.0,3.0
Debi Mazar,6.5891472868217065,False,6.589147299266998,1.08617409669326e-07,6.589147074800603,6.589147482607723,4.078071205171341e-07,6.6,66961.26703820672,66961.26498406653,66961.26871138548,3.72731895186007e-06,13.178294586088704,9.99998913827083,9.0,3.0
Donny Osmond,8.13953488372093,False,8.139534880919317,1.2444229627313206e-07,8.139534651491452,8.139535123467327,4.7197587527136875e-07,8.1,81033.94780110236,81033.94572585823,81033.94999509843,4.269240205758251e-06,16.279069764640248,9.999987555785857,9.0,3.0
Joanna Krupa,8.914728682170542,False,8.91472868196054,1.0810111300074848e-07,8.914728424372983,8.914728903744686,4.793717032214317e-07,8.9,88011.58735078192,88011.58503678792,88011.58934256606,4.30577814404387e-06,17.82945736413108,9.999989189900385,9.0,3.0
Kelly Osbourne,7.751937984496124,False,7.75193796796084,8.70961268759135e-08,7.751937771686199,7.751938137888942,3.662027427964176e-07,7.8,77531.63046361232,77531.62868487103,77531.63199895107,3.3140800369437783e-06,15.503875952456964,9.999991290394897,9.0,3.0
Louie Vito,7.751937984496124,False,7.751937972512846,1.069120584479333e-07,7.751937791620665,7.7519381806259835,3.890053186239584e-07,7.8,77531.63050480116,77531.6288724805,77531.63238845077,3.515970267471857e-06,15.503875957008969,9.999989308805585,9.0,3.0
Mark Dacascos,6.976744186046512,False,6.976744182471099,9.472501182520001e-08,6.976744016645999,6.976744372212641,3.55566641907501e-07,7.0,70496.21083030109,70496.20932037213,70496.21256459954,3.2442274095956234e-06,13.953488368517611,9.99999052750779,9.0,3.0
Melissa Joan Hart,7.3643410852713185,False,7.364341101083457,1.1348319237110134e-07,7.364340867704795,7.364341321044425,4.5333963072380357e-07,7.4,74019.33794871652,74019.33582525246,74019.33994804151,4.122789046959952e-06,14.728682186354774,9.999988651693641,9.0,3.0
Michael Irvin,5.426356589147287,False,5.426356581468039,1.3387428825299798e-07,5.426356250944878,5.426356801976715,5.510318370482992e-07,5.4,56273.238337180665,56273.23528090684,56273.24037422272,5.093315878184512e-06,10.852713170615326,9.999986612589096,9.0,3.0
Mya,10.465116279069768,False,10.465116274003703,1.0156544760741682e-07,10.465116073825065,10.465116460131883,3.863068176457318e-07,10.5,101875.19926797677,101875.19748093831,101875.200924649,3.44371069513727e-06,20.930232553073473,9.999989843465555,9.0,3.0
Natalie Coughlin,10.07751937984496,False,10.077519368219088,1.1428327494856428e-07,10.07751918075536,10.077519567405067,3.8664970780644126e-07,10.1,98419.52410047992,98419.5224282386,98419.52588355144,3.45531283528544e-06,20.155038748064047,9.999988571685565,9.0,3.0
Tom DeLay,5.813953488372093,False,5.813953497232944,1.1173139715748147e-07,5.813953321880789,5.813953723922922,4.0204213291872293e-07,5.8,59851.2114039866,59851.20979035582,59851.21348983581,3.699479995702859e-06,11.627906985605037,9.999988826872768,9.0,3.0
Aaron Carter,7.43801652892562,False,7.438016525265727,8.42039587719279e-08,7.438016338643441,7.43801669656918,3.5792573971349384e-07,7.4,75858.3886979202,75858.38698057042,75858.39027555342,3.294983005616814e-06,14.876033054191346,9.999991579611212,9.0,4.0
Chuck Liddell,7.024793388429752,False,7.024793385435669,8.834822121261426e-08,7.024793221874744,7.024793564542835,3.4266809123550956e-07,7.0,72045.36004670888,72045.35853857451,72045.36169849086,3.159916348522529e-06,14.049586773865421,9.999991165185683,9.0,4.0
Donny Osmond,9.917355371900827,False,9.917355378005439,7.730944107110378e-08,9.91735523904157,9.917355539575782,3.005342126272126e-07,9.9,98509.84550498528,98509.84424526483,98509.84696565474,2.7203899080632256e-06,19.834710749906264,9.999992269061869,9.0,4.0
Joanna Krupa,10.743801652892564,False,10.743801641027238,7.5942620793249e-08,10.743801472250206,10.743801763665655,2.914154482169806e-07,10.7,105991.66928505267,105991.66775725118,105991.67039338303,2.6361318450653925e-06,21.487603293919804,9.999992405743688,9.0,4.0
Kelly Osbourne,9.50413223140496,False,9.504132240098556,7.624371180985949e-08,9.504132069332245,9.504132399314285,3.2998203991496666e-07,9.5,94757.58440188962,94757.58285244512,94757.58584463429,2.9921891691628843e-06,19.008264471503516,9.999992375634632,9.0,4.0
Louie Vito,6.6115702479338845,False,6.611570260548567,8.434834918664909e-08,6.611570117447894,6.611570444856954,3.2740906075190424e-07,6.6,68218.83727063323,68218.83594727305,68218.83897897253,3.0316994816530495e-06,13.223140508482452,9.999991565172197,9.0,4.0
Mark Dacascos,9.090909090909092,False,9.090909080848613,8.637220356356013e-08,9.090908920982198,9.09090925243336,3.314511616281379e-07,9.1,90997.03886539183,90997.03740705537,90997.04042402102,3.016965652932413e-06,18.181818171757705,9.999991362787103,9.0,4.0
Melissa Joan Hart,11.570247933884298,False,11.570247925876147,7.204701227284432e-08,11.570247779304971,11.570248048234788,2.68929817082153e-07,11.6,113446.29658378396,113446.2952652761,113446.29768914562,2.423869518679567e-06,23.140495859760446,9.999992795303964,9.0,4.0
Michael Irvin,6.6115702479338845,False,6.611570258059172,8.856913173272722e-08,6.611570063978773,6.6115704671231,4.03144326810434e-07,6.6,68218.83724753767,68218.83544753994,68218.83918328318,3.7357432447606697e-06,13.223140505993056,9.99999114309467,9.0,4.0
Mya,11.570247933884298,False,11.570247945887411,8.048888594221697e-08,11.570247791676893,11.570248093837863,3.0216097002266906e-07,11.6,113446.29676398449,113446.29537391887,113446.29809741252,2.7234936569584535e-06,23.14049587977171,9.999991951117883,9.0,4.0
Natalie Coughlin,9.917355371900827,False,9.917355358947464,1.0961273947495188e-07,9.917355158953052,9.917355563625435,4.0467238271446604e-07,9.9,98509.84533211222,98509.84351699923,98509.84718933728,3.672338047181256e-06,19.834710730848293,9.999989038738068,9.0,4.0
Aaron Carter,9.917355371900827,False,9.91735537077284,8.060800920421323e-08,9.917355206126182,9.91735553300161,3.2687542805831526e-07,9.9,99265.55065077709,99265.54914445133,99265.55213330423,2.9888528952142225e-06,19.834710742673668,9.999991939205577,9.0,5.0
Donny Osmond,11.983471074380166,False,11.983471060782882,6.323401621741764e-08,11.983470915075765,11.983471192724503,2.776487377786907e-07,12.0,118063.21196857742,118063.2106476339,118063.21316509487,2.517460976378061e-06,23.96694213516305,9.999993676602376,9.0,5.0
Joanna Krupa,9.917355371900827,False,9.917355377106647,7.629931306967161e-08,9.917355195009499,9.917355496674993,3.0166549436216883e-07,9.9,99265.55070867122,99265.5490443155,99265.55180137353,2.7570580277824773e-06,19.834710749007474,9.999992370074514,9.0,5.0
Kelly Osbourne,9.917355371900827,False,9.917355361759183,7.369896023764219e-08,9.917355201188702,9.917355503135042,3.019463399311917e-07,9.9,99265.55056838783,99265.54909946815,99265.55186129313,2.7618249878287316e-06,19.83471073366001,9.999992630109407,9.0,5.0
Louie Vito,9.090909090909092,False,9.09090909993229,8.320426379160127e-08,9.090908947143454,9.090909270136281,3.2299282715086974e-07,9.1,91695.11075297964,91695.1093513797,91695.11231533985,2.9639601561939343e-06,18.181818190841383,9.999991679580543,9.0,5.0
Mark Dacascos,10.743801652892564,False,10.743801652233346,8.286463633959713e-08,10.743801480327779,10.743801814698537,3.3437075863673726e-07,10.7,106804.77041761005,106804.7688514993,106804.77189755568,3.0460563721135258e-06,21.48760330512591,9.999991713543233,9.0,5.0
Melissa Joan Hart,9.50413223140496,False,9.504132237700924,6.620000391480418e-08,9.504132100862424,9.504132362290928,2.614285037338959e-07,9.5,95484.50461853495,95484.50336583352,95484.50575802845,2.3921949323266743e-06,19.00826446910588,9.99999338000399,9.0,5.0
Michael Irvin,8.677685950413224,False,8.67768595724768,6.91334415507469e-08,8.677685813957934,8.67768607819003,2.6423209575909823e-07,8.7,87896.74540602908,87896.74408847545,87896.74651769352,2.429218075121753e-06,17.355371907660903,9.999993086660623,9.0,5.0
Mya,11.15702479338843,False,11.157024786523824,7.532473342436546e-08,11.157024634235746,11.157024934911915,3.006761684076764e-07,11.2,110563.89419210245,110563.8928079222,110563.89554095725,2.733035056735389e-06,22.314049579912254,9.999992467532332,9.0,5.0
Natalie Coughlin,9.090909090909092,False,9.090909095940377,9.55813342947884e-08,9.090908892387251,9.090909276768386,3.8438113492134107e-07,9.1,91695.11071633022,91695.10884757563,91695.11237480692,3.5272312961751595e-06,18.18181818684947,9.999990441875706,9.0,5.0
Aaron Carter,12.692274704027822,False,12.692274702217249,6.123526155961398e-08,12.692274564438366,12.692274822827718,2.5838935258093443e-07,12.7,125642.56596899824,125642.5647121945,125642.56707026823,2.358073732466437e-06,25.38454940624507,9.999993876477594,9.0,6.0
Donny Osmond,11.92307973373754,False,11.923079728581953,6.572234623220655e-08,11.923079591478357,11.92307988130797,2.898296127540334e-07,11.9,118616.7319902879,118616.73073378118,118616.73339044274,2.6566615561023353e-06,23.84615946231949,9.999993427769695,9.0,6.0
Joanna Krupa,13.846163313642238,False,13.846163304455658,6.723144798148631e-08,13.846163165167319,13.846163432097018,2.669296996771209e-07,13.8,136148.49562843435,136148.4943590324,136148.4967923214,2.433289017062634e-06,27.692326618097894,9.99999327685972,9.0,6.0
Kelly Osbourne,9.615340976180304,False,9.61534097460223,7.746642165719046e-08,9.61534080589166,9.615341118698447,3.128067866953188e-07,9.6,97406.76979884131,97406.76823488534,97406.77113126082,2.896375473937951e-06,19.230681950782532,9.999992253363835,9.0,6.0
Louie Vito,9.23080118354256,False,9.230801181886415,7.751379466670314e-08,9.230800996474098,9.230801331245365,3.347712667078895e-07,9.2,93849.82656076144,93849.8248468603,93849.82794230692,3.0954466201364995e-06,18.461602365428973,9.999992248626542,9.0,6.0
Mark Dacascos,12.307734911390078,False,12.307734912777466,6.85522623931186e-08,12.307734784820239,12.307735052220886,2.674006474023827e-07,12.3,122132.5728209549,122132.57165190417,122132.574089499,2.4375948269153015e-06,24.615469824167544,9.99999314477846,9.0,6.0
Melissa Joan Hart,9.230762721870962,False,9.230762722033681,7.810260651978917e-08,9.230762580295437,9.23076289535382,3.1505838293810484e-07,9.2,93849.47043813544,93849.46912642718,93849.47203741135,2.910984170739539e-06,18.46152544390464,9.999992189745447,9.0,6.0
Michael Irvin,8.461490828237482,False,8.461490842498046,7.200418990022009e-08,8.461490692100652,8.46149098563562,2.9353496877604357e-07,8.5,86710.29909985334,86710.29770249697,86710.30043078636,2.728289386141114e-06,16.922981670735528,9.999992799586193,9.0,6.0
Mya,12.692351627371018,False,12.692351630947297,8.27897122032505e-08,12.692351466121432,12.692351818477393,3.523559612972349e-07,12.7,125643.267693733,125643.2661907005,125643.2694069568,3.216256300220266e-06,25.384703258318314,9.999991721035634,9.0,6.0
Aaron Carter,15.0997150997151,False,15.099715100202973,5.011839442403587e-08,15.099714991379136,15.099715182263845,1.908847089282517e-07,15.1,150397.31354632907,150397.31253995924,150397.31430485158,1.7648923385422677e-06,30.199430199918073,9.999994988163069,9.0,7.0
Donny Osmond,14.814814814814811,False,14.814814814397348,5.741008049489984e-08,14.814814695613409,14.814814951710106,2.560966976261625e-07,14.8,147765.57946939094,147765.5783716802,147765.58073949828,2.3678180878050625e-06,29.62962962921216,9.999994258995246,9.0,7.0
Joanna Krupa,15.669515669515668,False,15.669515672738944,5.9535109976957037e-08,15.669515571381611,15.669515780582778,2.092011666121607e-07,15.7,155655.07658825396,155655.07565383508,155655.0775816957,1.9278606050647793e-06,31.339031342254614,9.999994046492546,9.0,7.0
Kelly Osbourne,14.814814814814811,False,14.814814808580136,5.2611673431379646e-08,14.814814688137966,14.814814915104776,2.2696680979095163e-07,14.8,147765.57941563512,147765.57830238956,147765.58040020548,2.097815915476531e-06,29.629629623394948,9.999994738835424,9.0,7.0
Mark Dacascos,12.250712250712253,False,12.25071225472053,5.676147511262259e-08,12.250712146804192,12.25071240739271,2.605885178752487e-07,12.3,123982.36570162945,123982.36469775408,123982.36712215099,2.4243969091912733e-06,24.50142450543278,9.99999432385571,9.0,7.0
Michael Irvin,13.390313390313391,False,13.390313396631308,5.354345205503218e-08,13.390313307223977,13.39031348309693,1.7587295353393984e-07,13.4,134575.85644903738,134575.85561858845,134575.8572502835,1.6316950495820492e-06,26.7806267869447,9.99999464565766,9.0,7.0
Mya,13.96011396011396,False,13.960113952728767,6.070012631128527e-08,13.960113852807027,13.960114048421573,1.9561454678296286e-07,14.0,139858.22882972413,139858.22790376184,139858.22971688138,1.8131195392925293e-06,27.920227912842726,9.999993929991053,9.0,7.0
Aaron Carter,19.083969465648856,False,19.083969462694203,3.477994213024559e-08,19.08396936395216,19.083969518010342,1.5405818132308013e-07,19.1,191433.7937849684,191433.7928597793,191433.7943032684,1.4434891054406763e-06,38.16793892834306,9.999996522006995,9.0,8.0
Donny Osmond,19.083969465648856,False,19.083969466575553,3.428570046669759e-08,19.083969398273986,19.08396954656457,1.4829058514465032e-07,19.1,191433.79382134497,191433.7931813656,191433.79457019348,1.388827891787514e-06,38.16793893222441,9.999996571431128,9.0,8.0
Joanna Krupa,19.84732824427481,False,19.84732824898497,3.4687027031789276e-08,19.847328175270214,19.84732832857877,1.5330855518413955e-07,19.8,198583.3952528975,198583.3945624118,198583.39599835972,1.4359479246195405e-06,39.69465649325978,9.9999965312985,9.0,8.0
Kelly Osbourne,19.46564885496183,False,19.46564885221757,3.586916297645524e-08,19.465648807397297,19.46564890068443,9.328713446166148e-08,19.5,195009.760035714,195009.75961640995,195009.76048945566,8.73045704793185e-07,38.9312977071794,9.999996413084988,9.0,8.0
Mya,22.519083969465647,False,22.519083969527696,3.8987127901096236e-08,22.519083880011085,22.519084057470184,1.7745909985933395e-07,22.5,223539.2571050752,223539.25626960705,223539.25792602586,1.6564188117627054e-06,45.03816793899334,9.99999610128873,9.0,8.0
Adam Carolla,6.172839506172839,False,6.172839492202297,9.607075031874424e-08,6.172839317031704,6.17283971083308,3.938013763971071e-07,6.2,63624.37485064592,63624.37323564395,63624.376872623885,3.6369799345266075e-06,12.345678998375137,9.999990392934198,6.0,1.0
Cristian de la Fuente,8.641975308641975,False,8.641975309397113,8.45487651028893e-08,8.641975151822662,8.641975477125547,3.253028850735973e-07,8.6,86203.0625385696,86203.06111015922,86203.06406207883,2.9519196104956793e-06,17.283950618039086,9.999991545130637,6.0,1.0
Jason Taylor,9.053497942386832,False,9.053497958456399,8.514921615754173e-08,9.05349779151614,9.053498103351584,3.118354445774685e-07,9.1,89927.6425474354,89927.64103748681,89927.64386030922,2.822822410962544e-06,18.10699590084323,9.999991485085634,6.0,1.0
Kristi Yamaguchi,11.11111111111111,False,11.111111119518398,9.428357892057259e-08,11.111110957365907,11.111111282607393,3.252414852994434e-07,11.1,108429.60607816406,108429.60462605348,108429.60753909551,2.9130420298315583e-06,22.22222223062951,9.999990571650997,6.0,1.0
Mario,9.876543209876544,False,9.876543217063706,9.20696720169602e-08,9.876543021996646,9.87654337510465,3.5310800328147707e-07,9.9,97350.96199076423,97350.96023698687,97350.96341144745,3.174460580339655e-06,19.75308642694025,9.999990793041276,6.0,1.0
Marissa Jaret Winokur,7.4074074074074066,False,7.407407399110009,1.0009103032520797e-07,7.407407213996421,7.407407606842047,3.928456262514146e-07,7.4,74969.05169793048,74969.0500083769,74969.05359530223,3.586925333365798e-06,14.814814806517415,9.999989990906984,6.0,1.0
Marlee Matlin,9.053497942386832,False,9.05349794527959,8.680646373348347e-08,9.053497768723961,9.053498112747663,3.440237019702863e-07,9.1,89927.64242832028,89927.64083312047,89927.64394750142,3.1143809464992953e-06,18.10699588766642,9.999991319361161,6.0,1.0
Monica Seles,6.172839506172839,False,6.1728395125688875,8.447218816283957e-08,6.172839349928041,6.172839669877455,3.199494136296721e-07,6.2,63624.375038894425,63624.37353435556,63624.376491924646,2.957569085992873e-06,12.345679018741727,9.99999155278832,6.0,1.0
Penn Jillette,6.584362139917696,False,6.584362138050757,9.759758851648812e-08,6.584361933558205,6.584362300279017,3.667208119395582e-07,6.6,67420.20675735358,67420.20487612482,67420.20824968327,3.373558458406478e-06,13.168724277968453,9.999990240250673,6.0,1.0
Priscilla Presley,9.876543209876544,False,9.876543209014969,9.968722609744582e-08,9.87654302568753,9.876543417319771,3.916322413033413e-07,9.9,97350.96191832678,97350.96026964577,97350.96379302112,3.5233753442298622e-06,19.753086418891513,9.999990031287327,6.0,1.0
Shannon Elizabeth,8.641975308641975,False,8.641975297844743,1.0094108853528201e-07,8.641975121307716,8.641975503777857,3.824701408916553e-07,8.6,86203.06243388222,86203.06083586611,86203.06429940341,3.4635373012861236e-06,17.28395060648672,9.999989905901336,6.0,1.0
Steve Guttenberg,7.4074074074074066,False,7.407407401493129,1.0536169642852152e-07,7.407407174194611,7.407407597206911,4.2301229985497457e-07,7.4,74969.05171971307,74969.04964350493,74969.05350739807,3.863893143716269e-06,14.814814808900536,9.999989463841459,6.0,1.0
Adam Carolla,7.392996108949417,False,7.392996104889626,1.0409428024987632e-07,7.39299590781842,7.392996315531235,4.0771281462070874e-07,7.4,74841.94293803153,74841.9411319418,74841.94486651437,3.734572572284378e-06,14.785992213839043,9.99998959058281,6.0,2.0
Cristian de la Fuente,7.782101167315175,False,7.7821011635226345,7.967772995077396e-08,7.782101013338327,7.782101338371873,3.2503354585600164e-07,7.8,78393.8130589849,78393.81169075835,78393.81465006761,2.959309262223542e-06,15.564202330837809,9.999992032233353,6.0,2.0
Jason Taylor,10.505836575875486,False,10.505836590478557,9.657245514110883e-08,10.505836449982123,10.50583684247872,3.924965970014682e-07,10.5,103012.22030889096,103012.21904768061,103012.22256959848,3.5219178680563346e-06,21.011673166354043,9.99999034276381,6.0,2.0
Kristi Yamaguchi,10.505836575875486,False,10.505836578414005,9.551225407520977e-08,10.505836406887715,10.505836729165095,3.2227737989387606e-07,10.5,103012.22020063139,103012.21865707157,103012.2215566672,2.8995956236030905e-06,21.01167315428949,9.999990448783715,6.0,2.0
Mario,10.116731517509727,False,10.116731519042972,8.846158561003894e-08,10.11673134391066,10.116731679894297,3.359836373562075e-07,10.1,99517.48164540311,99517.48007346368,99517.48309632673,3.0228630494093524e-06,20.2334630365527,9.999991153849264,6.0,2.0
Marissa Jaret Winokur,8.171206225680933,False,8.171206214877598,9.238703515245255e-08,8.17120601178495,8.171206390646022,3.7886107229212485e-07,8.2,81935.6167136702,81935.61486927258,81935.61831470422,3.4454316337360068e-06,16.342412440558533,9.99999076130502,6.0,2.0
Marlee Matlin,9.33852140077821,False,9.338521420301019,1.0572219442788996e-07,9.338521215619455,9.338521636062096,4.20442640702845e-07,9.3,92507.82027089926,92507.81842264008,92507.82222113671,3.7984966329531744e-06,18.67704282107923,9.999989427791734,6.0,2.0
Monica Seles,5.836575875486381,False,5.836575882974651,1.0341046327691387e-07,5.836575686242093,5.836576107676092,4.2143399880956167e-07,5.8,60514.4207631945,60514.41894028627,60514.422846828515,3.906542246113531e-06,11.673151758461032,9.999989658964365,6.0,2.0
Penn Jillette,6.614785992217899,False,6.614785995240888,1.0021962292168605e-07,6.61478577881798,6.61478618481878,4.0600080009056683e-07,6.6,67704.41206479298,67704.41007651291,67704.41380712084,3.73060793208424e-06,13.229571987458787,9.99998997804775,6.0,2.0
